Category,Caetgory Description,Name,ImageURL,Date of Appointment,La,Lo,Workplace,Notes,Degree
Non-profit Arts Administration,,Ms. Ifigenia A. Dionissiadou,,,37.975952,23.740446,Benaki Museum,"Department Head, Documentation Department",MA
Curatorial,,"Erika Iona Dolphin, PhD",,,48.004363,-66.672133,National Gallery of Canada,Assistant Curator to the Chief Curator,"PhD, 2008"
,,Ms. Annemarie McNamara Dominiak,,,,, ,Freelance Writer/ Editor,"M, 1989"
Conservation,,Ms. Jean E. Dommermuth,,,40.750808,-74.004347,Rustin Levenson Art Conservation,Conservator,"Certificate in Conservation, 1996"
Education,,Dr. Alice A. Donohue,,,40.026658,-75.31439,Bryn Mawr College,Dept of Classical Archaeology,"MA, 1977"
Education,,"Mailan Stephanie Doquang, PhD",,,40.343989,-74.651448,Princeton University,Lecturer,"PhD, 2009"
For-Profit Arts Professional,,Ms. Jenna E. Drumright,,,,,Oscar de la Renta,Vice President of Studio,"MA, 2014"
Education,,"Aruna E. D'Souza, PhD",,,31.586364,-97.15648,Vermont College,"Visiting Faculty,  MFA Program in the Visual Arts","PhD, 1999"
For-Profit Arts Professional,,Ms. Joellyn T. Duesberry,,,,,Joellyn Duesberry Studios,Owner,"MA, 1967"
Non-profit Arts Administration,,"Lisa Marie Duffy-Zeballos, PhD",,,40.753855,-73.981269,International Foundation for Art Research,Director of Art Research,"PhD, 2007"
Education,,Dr. Martha L. Dunkelman,,,42.924834,-78.851485,Canisius College,Professor,"MA, 1971"
,,Ms. Elisabeth Dunn,,,,,"Shared Serv Fin, Curriculum Grp",Director,"MA, 1988"
Education,,Dr. Eugene J. Dwyer,,,40.376833,-82.396593,Kenyon College,Professor of Art History,"MA, 1967"
Curatorial,,"Dr. Joseph M. Dye, III",,,37.55603,-77.474842,Virginia Museum of Fine Arts,"Curator, Asian Art Department","XX '71, IFA (GSAS/Fine Arts)"
Education,,Dr. Wayne R. Dynes,,,,,Hunter College (CUNY),"Professor of Art History, emeritus","XX '69, IFA (GSAS/Fine Arts)"
Curatorial,,"Susan E. Earle, PhD",,,38.959683,-95.244593,Spencer Museum of Art,Curator/Art Historian,"PhD, 1998"
Education,,"Martha E. Easton, PhD",,,40.026658,-75.31439,Bryn Mawr College,Research Associate,"MA, 1991"
For-Profit Arts Professional,,Mrs. Vivian L. Ebersman,,,,,AXA Art Insur. Corp.,"Director, Art Experience","MA, 1966"
Education,,Ms. Susan E. Ebner-McDougall,,,,,Society of Architectural Historians,Volunteer,"MA, 1985"
Education,,Dr. Betty Tseng Ecke,,,21.302944,-157.84814,Honolulu Academy of Arts,Professor Emeritus,"MA, 1972"
Education,,Holly Edwards,,,42.713471,-73.204994,Williams College,Lecturer,"PhD, 1990"
Conservation,,Ms. Elise S. Effmann Clifford,,,37.771297,-122.468511,Fine Arts Museums of San Francisco,Associate Conservator of Paintings,"Certificate in Conservation, 2000"
Non-profit Arts Administration,,Dr. Erica O. Ehrenberg,,,,,New York Academy of Art,Dean and Director,PhD
Education,,"Yvonne H. Elet, PhD",,,41.686662,-73.894944,Vassar College,Assistant Professor,PhD
Curatorial,,"Carol S. Eliel, PhD",,,34.063932,-118.359229,Los Angeles County Museum of Art,Curator of  Modern & Contemorary Art,PhD
Non-profit Arts Administration,,Michelle Elkins Brenner,,,34.063932,-118.359229,Los Angeles County Museum of Art,Education Coordinator,MA
Conservation,,Ms. Justine Egner Ellis,,,35.00926,135.764983,"Oka Bokkodo Co., Ltd.", ,Certificate in Conservation
Conservation,,Ms. Margaret Holben Ellis,,,40.776338,-73.964047,Institute of Fine Arts,Eugene Thaw Professor of Paper Conservation,Certificate in Conservation
For-Profit Arts Professional,,Ms. Marianne V. Elrick-Manley,,,,,Elrick-Manley Fine Art Inc.,Director,MA
Other Occupations,,Ms. Marilyn C. Ereshefsky,,,43.617713,-116.199517,US Department of State,Diplomat & Foreign Service Officer,"XX '80, IFA (GSAS/Fine Arts)"
Education,,Ms. Jennifer Eskin,,,,,Riverdale Country School,"Teacher, History and Art History",MA
Conservation,,Ms. Elizabeth B. Estabrook,,,,,Amann and Estabrook Conservation Associates,Paintings Conservator,Certificate in Conservation
Other Occupations,,Mr. David A. Eyler,,,44.306027,-71.771299,Miller's Cafe and Bakery,Chef/ Owner,MA
Education,,"Michelle M. Facos, PhD",,,,,Indiana University,Professor,"XX '83, IFA (GSAS/Fine Arts); PHD '89, IFA (GSAS/Fine Arts)"
Non-profit Arts Administration,,Ms. Delana Joy Farley,,,,,Museum of Contemporary Native Arts,Registrar,"MA, 2008"
Education,,Ms. Biri Fay,,,,, ,Egyptologist Specializing on Egyptian Art,"MA, 1992"
,,Ms. Allyson Loeb Feeney,,,,,Exploratorium,Project Coordinator,"MA, 2010"
"Editors, Writers Or Publishers",,Dr. Roni D. Feinstein,,,,, ,Independent Curator/Writer,"PhD, 1990"
Education,,"Sharon H. Ferguson, PhD",,,,,Lamar Dodd School of Art,Part-Time Instructor,"PhD, 2005"
,,Ms. Joanna E. Fink,,,,,Alpha Gallery,Director,MA
Education,,Dr. Irving L. Finkelstein,,,33.753068,-84.385282,Georgia State University,Professor Emeritus,MA
,,Ms. Carolyn Maxwell Finn,,,,,Nielsen Media Research International,"Vice President, Human Resources","MA '91, IFA (GSAS/Fine Arts)"
,,Mr. Ross A Finocchio,,,,,, ,"BA '01, CAS (English and American Literature, Fine Arts); MA '06, IFA (GSAS/History of Art and Archaeology); PHD '13, IFA (GSAS/History of Art and Archaeology)"
Education,,"Theresa Lynn Flanigan, PhD",,,42.664349,-73.785552,The College of Saint Rose,Assistant Professor,PhD
,,"Laurel Ann Flentye, PhD",,,,, , ,"PHD '06, IFA (GSAS/History of Art and Archaeology)"
Education,,"Holly D. Flora, PhD",,,29.940348,-90.120728,Tulane University,Assistant Professor,PhD
,,Mr. John F. Flotte,,,,, , ,"CERT '96, IFA (GSAS/Conservation of Hist & Artistic Wrk); MA '96, IFA (GSAS/History of Art and Archaeology)"
,,Ms. Elizabeth R. Fodde-Reguer,,,,,The International Fine Print ,Executive Assistant,"MA '10, IFA (GSAS/History of Art and Archaeology)"
,,Ms. Shalimar Abigail Fojas White,,,,,"ARTstor, Inc.",Collection Development Manager,"MA '03, IFA (GSAS/History of Art and Archaeology)"
,,Ms. Megan Holloway Fort,,,,,The Magazine Antiques,Writer,"MA '98, IFA (GSAS/History of Art and Archaeology)"
,,Ms. Rikke R. Foulke,,,,,Foulke Fine Art Conservation,Paintings Conservator,"MA '98, IFA (GSAS/History of Art and Archaeology); CERT '98, IFA (GSAS/Conservation of Hist & Artistic Wrk)"
,,Ms. Judith C. Fox,,,,,Judy Fox Studio,Owner,"MA '84, IFA (GSAS/History of Art and Archaeology); CERT '84, IFA (GSAS/Conservation of Hist & Artistic Wrk)"
,,Dr. Marcel M. Franciscono,,,,,University of Illinios at Urbana-Champaign,Art Historian,"MA '59, IFA (GSAS/Fine Arts); PHD '68, IFA"
,,"Wayne E. Franits, PhD",,,,,Department of Art and Music Histories,Professor of Art History ,"PHD '87, IFA (GSAS/Fine Arts)"
,,Dr. Eric M. Frank,,,,,Department of Art History,Professor,"PHD '88, IFA (GSAS/Fine Arts)"
Conservation,,Ms. Suzanne P. Fredericks,,,,,"Oliver Hill Dairy, Inc.",Paintings Conservator,Certificate in Conservation
Non-profit Arts Administration,,Dr. Rita E. Freed,,,,,Museum of Fine Arts,"Chair, Art of the Ancient World","XX '76, IFA (GSAS/Fine Arts)"
Education,,"Jack W. Freiberg, PhD",,,,,Florida State University,Associate Professor and Associate Dean,"MA '74, IFA (GSAS/Fine Arts); PHD '88, IFA (GSAS/Fine Arts)"
,,Ms. Sandra E. Gilbert-Freidus,,,,,Rizzoli Intl. Publications/Universe Publ, ,"XX '76, WSC; XX '80, IFA (GSAS/Fine Arts)"
"Editors, Writers Or Publishers",,Ms. Susan P. Freudenheim Core,,,,,Tribe Media Corp.,Managing Editor,"XX '79, IFA (GSAS/Fine Arts)"
,,Ms. Leslie M. Freudenheim,,,,, , ,"MA '66, IFA"
,,Mr. Tom L. Freudenheim,,,,,"Seiden Krieger Associates, Inc.",Museum Advisor,"MA '66, IFA (GSAS/Fine Arts)"
Conservation,,Mr. Joseph E. Fronek,,,34.063932,-118.359229,Los Angeles County Museum of Art,Conservator,"Certificate in Conservation, 1981"
Curatorial,,"Aimee Froom,",,,29.725069,-95.389499,"Museum of Fine Arts, Houston",Curator of Islamic Art,"PhD, 2001"
Conservation,,Ms. Sayaka Fujioka,,,40.730499,-74.007217,Amann & Estabrook Conservation Assoc.,,"MA, 2008"
Curatorial,,Mr. Peter R. Fusco,,,,,The J. Paul Getty Museum,"Curator, Decorative Arts Department","XX '72, IFA (GSAS/Fine Arts)"
Non-profit Arts Administration,,Ms. Lindsay Ann Gabryszak,,,40.78298,-73.958971,Solomon R. Guggenheim Museum,Development Associate,"MA, 2007"
Curatorial,,Dr. Susan G. Galassi,,,40.771277,-73.967134,The Frick Collection,Curator,"PhD, 1991"
Museum Director,,Janne Gallen-Kallela-Siren,,,42.93245,-78.875618,Albright-Knox Gallery,Director,PhD
Conservation,,Ms. Heather Galloway,,,41.48949,-81.711361,Intermuseum Conservation Association,Painting Conservator,Certificate in Conservation 1994
Other Occupations,,"Jorge A. Garcia-Tuduri, Esq.",,,,,NYC Law Department,Senior Counsel,"MA '77, IFA (GSAS/Fine Arts); JD '80, Law"
Public Relations and Marketing,,Ms. Rosemarie Garipoli,,,,,The Campaign for Lincoln Center,Executive Director,"XX '66, WSC; MA '69, IFA"
Education,,"John N. Garton, PhD",,,42.250386,-71.822231,Clark University,Assistant Professor of Art History,"PhD, 2003"
Non-profit Arts Administration,,Alison Gass,,,37.431909,-122.17074,"Cantor Art Center, Stanford University","Associate Director for Collections, Exhibitions, and Curatorial Affairs","MA, 2004"
Curatorial,,"Jasper Gaunt, PhD",,,33.790462,-84.324162,Michael C. Carlos Museum of Emory University,Curator of Greek & Roman Art,"PhD, 2002"
,,Dr. Josephine Gear,,,,,"Program in Museum Studies, NYU",Adjunct Associate Professor,"PhD, 1970"
Non-profit Arts Administration,,"Mia Reinoso Genoni, PhD",,,41.310185,-72.928264,Yale University,Dean Berkeley College,"PhD, 2007"
Education,,Ms. Maryl B. Gensheimer,,,38.986918,-76.942554,University of Maryland,"Assistant Professor, Roman Art and Architecture","PhD, 2013"
Conservation,,Ms. Claire H. Gerhard,,,47.649079,-122.370109,"CHG Art Conservation Services, Inc.", ,"Certificate in Conservation, 1993"
Education,,"Sharon E. Gerstel, PhD",,,34.068921,-118.445181,UCLA,Professor of Byzantine Art & Archaeology,"PhD, 1993"
Public Relations And Marketing,,Ms. Pamela Gettinger,,,,, ,Marketing Consulting,"MA, 1986"
Other Occupations,,"Kathryn J. Gettles-Atwa, Esq.",,,,,"Wachtell, Lipton, Rosen & Katz",Counsel,"MA, 1997"
For-profit Arts Professional,,Ms. Asiyeh Ziai Gharagozlou,,,,, ,Art Consultant,"MA, 1978"
For-profit Arts Professional,,Count Manfredi Della Gherardesca,,,,,MDG Fine Arts Ltd.,Director,"MA, 1988"
Non-Profit Arts Administration,,"David M. Gillerman, PhD",,,42.336349,-71.072348,Boston University School of Medicine,"Deputy Director, Foundation Relations","PhD, 1987"
Curatorial,,"Christine Suzanne Giviskos, PhD",,,40.499916,-74.445943,Zimmerli Art Museum,Associate Curator,"PhD, 2014"
Other Occupations,,Randy David Gladman,,,43.645901,-79.38432,Triovest,Director of Development,"MA, 2001"
For-profit Arts Professional,,Mrs. Nancy Sheiry Glaister,,,,,Fine & Rare Books, ,"MA, 1970"
For-profit Arts Professional,,Mr. Adam Daniel Glick,,,40.750166,-74.00437,Galerie Lelong,Associate Director,"MA, 2009"
For-profit Arts Professional,,Ms. Mildred L. Glimcher,,,40.761892,-73.97204,The Pace Gallery,Director Special Projects,"MA, 1986"
Non-Profit Arts Administration,,Ms. Nancy J. Goeschel,,,,,New York Landmarks Preservation Commission,Landmark Preservation Specialist,"XX '74, IFA (GSAS/Fine Arts)"
Education,,"Deborah A. Goldberg, PhD",,,,,,Independent Art Historian,"PhD, 2000"
Conservation,,Ms. Meghan Young Goldmann,,,,,Collector Systems,VP Conservation & Restoration Services,"Certificate in Conservation, 2002"
"Editors, Writers or Publishers",,"Eleanor Hope Goodman, PhD",,,,,Penn State Press,Executive Editor for Art and Humanities,"PhD, 2001"
Education,,"John A. Goodman, Jr., PhD",,,,, ,Translator & Art Historian,"PhD, 1991"
"Editors, Writers or Publishers",,Mr. Adam Gopnik,,,,,The New Yorker,Editor,"MA, 1984"
For-profit Arts Professional,,Ms. Elizabeth Gorayeb,,,,,Sotheby's,Assistant Vice President,"MA, 2001"
Museum Director,,"Emilie E.S. Gordenker, PhD",,,52.080421,4.314301,Mauritshuis,Director,"PhD, 2998"
Conservation,,Mr. Eric A. Gordon,,,39.296593,-76.6161,The Walters Art Museum,Head of Painting Conservation,"Certificate in Conservation, 1980"
Education,,"Lois R. Granato, PhD",,,,, ,Independent Scholar,"PhD, 2008"
,,Ms. Ellen J. Grand,,,,,c/o Caffe Bianco, ,"MA, 1969"
,,Ms. Melissa L. Greenberg,,,,,Rutgers University,Graduate Student,"MA, 2011"
Curatorial,,Ms. Alison de Lima Greene,,,,,"Museum of Fine Arts, Houston","Curator, Modern & Contemporary Art","MA, 1981"
Education,,"Michele M. Greet, PhD",,,38.832194,-77.308037,George Mason University,Associate Professor,"PhD, 2004"
Education,,Ms. Jane Tilley Griffin,,,,,Smithsonian Institution Associates,Lecturer on Asia,"MA, 1958"
Conservation,,Ms. Patricia S. Griffin,,,41.508915,-81.604643,Cleveland Museum of Art,Assistant Conservator of Objects,"Certificate in Conservation, 1992"
Curatorial,,Ms. Ruth Grim,,,25.797241,-80.129213,The Bass Museum of Art,Curator,"MA, 1988"
Curatorial,,Ms. Elayne Grossbard,,,37.858894,-122.247959,Judah L. Magnes Museum,Judaica Curator,"Certificate in Conservation, 2979"
Conservation,,Nica Gutman Rieppi,,,40.775051,-73.957557,Samuel H. Kress Collection,Associate Conservator,"MA, 2010"
For-Profit Arts Professional,,Mr. Steven R. Haas,,,,, ,Photographer / Editor,"MA, 1970"
Education,,"Elisabeth Hackspiel-Mikosch, PhD",,,51.227741,6.773456,Academy of Fashion and Design,Professor of Fashion Theory,"PhD, 1999"
,,Ms. Nora Hamerman,,,,, ,Writer and Lecturer,"MA, 1969"
,,"Carrie A. Hamilton, PhD",,,,, ,Independent Scholar,"PhD, 1995"
Education,,"Amy Kelly Hamlin, PhD",,,44.967436,-93.235914,St. Catherine University,Assistant Professor,"PhD, 2007"
Education,,Prof. Kristine Edmondson Haney,,,42.391157,-72.526712,"University of Massachusetts, Amherst",Professor,"XX '72, IFA (GSAS/Fine Arts)"
Other Occupations,,Dr. Claire E. Hanley,,,,,SUNY Downstate Medical Center,Attending Radiologist,"XX '79, IFA (GSAS/Fine Arts)"
,,Ms. Susan Tagliabue Hapgood,,,,, , ,"MA, 1985"
Education,,Sarah M. Hardin,,,42.493784,-71.372222,Middlesex School, ,"MA, 2012"
Education,,Dr. June E. Hargrove,,,38.986918,-76.942554,University of Maryland,Professor,"XX '70, IFA (GSAS/Fine Arts)"
Non-profit Arts Administration,,Ms. Ellen Schwartz Harris,,,40.761433,-73.977622,Museum of Modern Art,Deputy Director,"XX '80, IFA (GSAS/Fine Arts)"
Curatorial,,Ms. Susan A. Harris,,,,, ,Independent Curator,"MA, 1982"
For-Profit Arts Professional,,Ms. Cynthia Harris-Pagano,,,,,Cynthia Harris-Pagano Portraits, Artist,"MA, 1967"
Curatorial,,Dakin Hart,,,40.766767,-73.938401,Noguchi Museum,Senior Curator,"MA, 2006"
Education,,"Melinda K. Hartwig, PhD",,,33.753068,-84.385282,Georgia State University,Associate Professor,"PhD, 2000"
Education,,Ms. Emily Dennis Harvey,,,42.671331,-74.503696,SUNY Rockland Community College,Professor of Art History & Department Chair,"MA, 1968"
Non-profit Arts Administration,,Ms. Donna Jo Hassler,,,,,The Exhibition Alliance,Board Member,"XX '83, IFA (GSAS/Fine Arts)"
Other Occupations,,"Roberta Urich Hatch, Esq.",,,,,Private Wealth Advisor,Senior Vice President,"XX '68, IFA (GSAS/Fine Arts); LLM '95, Law (Taxation)"
Conservation,,Ms. Pamela B. Hatchfield,,,42.339381,-71.094048,"Museum of Fine Arts, Boston",Head of Objects Conservation,"Certificate in Conservation, 1986"
Public Relations And Marketing,,"Tami Dawn Hausman, PhD",,,,,Hausman LLC,President,"PhD, 2002"
"Editors, Writers Or Publishers",,Ms. Elizabeth C. Hayt,,,,, ,Writer ,"MA, 1988"
Other Occupations,,"Laura E. Hebert, PhD",,,32.780038,-96.803896,"Carrington, Coleman, Sloman",Associate,"PhD, 2000"
Conservation,,Mr. Michael Heidelberg,,,,,"Heidelberg Conservation, LLC", ,"Certificate in Conservation, 1986"
,,Dr. Kathryn Moore Heleniak,,,,,Fordham University,Professor of Art,"PhD, 1978"
For-profit Arts Professional,,Mr. Etienne J. Hellman,,,40.754247,-73.981944,Christie's,International Director / Orientalist,"MA, 1997"
Curatorial,,Ms. Karen Reed Hellman,,,34.078808,-118.475026,The J. Paul Getty Museum,Assistant Curator,"MA, 2004"
Conservation,,"Elizabeth A Hendrix, PhD",,,,,Sunny Hill Farm,Conservator,"PhD, 2000"
,,Dr. Sara L. Henry,,,,,"Distinguished Teach Prof of Hum, Emerita",Professor of Art History & NEH ,"MA, 1966"
For-Profit Arts Professional,,Mrs. Cynthia D. Recouso-Herbert,,,,,Appretium Appraisal Services,President,"MA, 1990"
Non-Profit Arts Administration,,Ms. Maria A. L. Hermano,,,41.825843,-71.407744,Rhode Island School of Design,Special Asst. to the President,"MA, 1994"
Curatorial,,"Dr. John J. Herrmann, Jr.",,,,,"Museum of Fine Arts, Boston","Curator of Classical Art, Emeritus","MA, 1964"
"Editors, Writers Or Publishers",,Ms. Sharon R. Herson,,,,, ,Freelance Editor,"MA, 1970"
For-Profit Arts Professional,,Ms. Cassandra Ray Herzberg,,,,,Pace Gallery,Gallery Assistant,"MA, 2014"
Curatorial,,"Julia P. Herzberg, PhD",,,,,Based in New York City,Independent Curator,"MA, 1987"
For-Profit Arts Professional,,Ms. Tamara E.W. Hill,,,,,,"Jewelry Designer, Photographer & Independent Art Historian/Lecturer","MA, 1971"
Curatorial,,"Valerie Lynn Hillings, PhD",,,40.78298,-73.958971,Solomon R. Guggenheim Museum,Associate Curator of Collection and Exhibitions,PhD 2002
Conservation,,Mr. John W. Hirx,,,34.063932,-118.359229,Los Angeles County Museum of Art,Head Objects Conservator,"Certificate in Conservation, 1997"
Education,,"Michelle Hobart, PhD",,,40.728082,-73.991609, Copper Union,Adjunct Assistant Professor,"PhD, 2006"
Other Occupations,,Ms. Amy D. Hochberg,,,,, ,Yoga Instructor & Writer,"MA, 1997"
Curatorial,,"Rena Hoisington, PhD",,,39.325918,-76.61917,The Baltimore Museum of Art,"Associate Curator/Dept. Head- Prints, Drawings & Photographs","MA '96, IFA (GSAS/History of Art and Archaeology); PHD '06, IFA (GSAS/History of Art and Archaeology)"
Education,,"Beth L. Holman, PhD",,,,,Bard Graduate Center,Associate Professor,"PhD, 1991"
"Editors, Writers Or Publishers",,Dr. Mary Tavener Holmes,,,,, ,Art Historian/Curator,"PhD, 1986"
Education,,"Dr. William E. Hood, Jr.",,,,,William Hood Fine Arts,Emeritus Professor and Principle,"PhD, 1977"
Curatorial,,Ms. Laura J. Hoptman,,,40.761433,-73.977622,Museum of Modern Art,Curator,"MA '86, IFA (GSAS/Fine Arts)"
Conservation,,Ms. Mindy F. Horn,,,,,Mindy Horn Conservation,Paper Conservator,Certificate in Conservation
Curatorial,,Ms. Paula Rand Hornbostel,,,42.354995,-71.05682,The Lachaise Foundation,Curator and Trustee,"MA, 2000"
Education,,Ms. Christina B. Houstian,,,,,Broadneck High School,Head of the Social Studies Department,"MA, 1994"
Education,,Dr. Angela Howard,,,,,Rutgers University,Professor,"MA, 1977"
"Editors, Writers Or Publishers",,Ms. Anne Hoene Hoy,,,,,"Editor, Author",Adjunct Assoc Professor,"MA, 1967"
Education,,"Anne Hrychuk Kontokosta, PhD",,,40.69113,-73.963092,Pratt Institute,Visiting Associate Professor,"PhD, 2010"
Other Occupations,,"Chee Mee Hu, PhD",,,,,Moodys Investors Service, ,"PhD, 1981"
Other Occupations,,Ms. Sophie Hager Hume,,,,,Starbucks Corporation,"VP, Asst General Counsel & Asst. Secretary","MA, 1988"
Curatorial,,Ms. Sarah Averill Humphreville,,,40.739366,-74.00891,Whitney Museum of American Art,Curatorial Assistant,"MA, 2013"
Education,,Dr. John M. Hunisak,,,,,Middlebury College,Professor of Art and Architecture,"MA, 1969"
"Editors, Writers Or Publishers",,Ms. Penelope Hunter-Stiebel,,,35.683794,-105.942036,El Palacio magazine,Columnist,"MA, 1971"
Non-Profit Arts Administration,,Dr. Judith Warren Hurtig,,,,,Hancher Auditorium,Artistic Director,"PhD, 1978"
Non-Profit Arts Administration,,Ms. Kailin B. Husayko,,,,,Greenwich Village Society for Historic Preservation,Program Associate,"BA '06, CAS (History, French); ADCRT '13, IFA (Museum Studies)"
Education,,Dr. Isabelle Hyman,,,40.729513,-73.996461,New York University,Professor Emerita,"MA, 1966"
Curatorial,,Ms. Margaret L. Iacono,,,40.771277,-73.967134,The Frick Collection,Assistant Curator,"MA, 1999"
Education,,Dr. Caroline Goldberg Igra,,,32.76143,35.019518,University of Haifa,Assistant Professor,"PhD, 1995"
Education,,Ms. Mayumi Ikeda,,,35.648964,139.742938,Keio University,Postdoctoral Fellow,"MA, 2004"
Conservation,,Ms. Helen C. Im,,,,,Fine Art Conservation Group LLC,Paintings Conservator,"Certificate in Conservation, 2001"
Education,,"Anna Indych-L_pez, PhD",,,,,The City College of New York,Associate Professor of Art History,"PhD, 2003"
Education,,"Erik W. Inglis, PhD",,,41.292312,-82.216473,Oberlin College,Professor,"PhD, 1998"
Conservation,,Ms. Harriet Irgang,,,,,ArtCareNYC Inc.,Director/Senior Paintings Conservator,"Certificate in Conservation, 1985"
Other Occupations,,"Anita T. Isola, Esq.",,,,,New York City Transit Authority,Assistant General Counsel - Retired,"MA, 1974"
Curatorial,,Matthew Israel,,,40.718875,-74.002792,Artsy,Curator at Large,"PhD, 2011"
Other Occupations,,Rebeca Izquierdo,,,,,Yoga Instructor,Sonic Yoga,"MA, 2009"
Education,,"Lynn F. Jacobs, PhD",,,36.067832,-94.173655,University of Arkansas,Professor,"PhD, 1986"
For-Profit Arts Professional,,Ms. Sandhya S. Jain Patel,,,,,Christie's,Specialist,"Certificate in Conservation, 2004"
Curatorial,,Ms. Heather Whitmore Jain,,,37.785718,-122.401051,San Francisco Museum of Modern Art,Curator,"MA, 1999"
Other Occupations,,Ms. Olivia Falconer James,,,,,Howard Hanna Holt Real Estate,Associate Broker,"MA, 1976"
Conservation,,Ms. Grace Jan,,,38.887864,-77.026525,Freer Sackler Galleries/Smithsonian,Chinese Painting Conservator,"Certificate in Conservation, 2007"
Other Occupations,,Ms. Maureen M. Jerome,,,37.421591,-122.14773,"Merck & Co., Inc.",Assistant Counsel,"MA, 1993"
Curatorial,,Purissima Benitez Johannot,,,46.202055,6.146561,Musee Barbier-Mueller,Curator,"MA, 1984"
Education,,"Christopher Johnson, PhD",,,,,New School University- Eugene Lang College,Assistant Professor of Culture and Media,"PhD, 1999"
Education,,Dr. Eugene J. Johnson,,,,,Williams College,Amos Lawrence Professor of Art,"MA, 1963"
Curatorial,,"Lyle Humphrey Johnson, PhD",,,35.810435,-78.702139,North Carolina Museum of Art,GlaxoSmithKline Curatorial Fellow,"PhD, 2007"
Curatorial,,Mr. William R. Johnston,,,,,Walters Art Museum,Senior Curator Emeritus,"MA, 1966"
Other Occupations,,Dr. Leslie M. Jones,,,,,Motorola Mobility Foundation,Senior VP and Chief Information Office,"MA, 1973"
Education,,Dr. Jim M. Jordan,,,,,Dartmouth College,Professor,"XX '74, IFA (GSAS/Fine Arts)"
Conservation,,Ms. Erin Kimberly Jue,,,34.129328,-118.110335,The Huntington Library,Paper Conservator,"Certificate in Conservation, 2008"
Education,,Dr. Annette L. Juliano,,,40.500819,-74.447399,Rutgers University,Professor of Asian Art,"PhD, 1974"
Education,,"Kenji Kajiya, PhD",,,34.974444,135.663699,Kyoto City University of Arts,Associate Professor,"PhD, 2014"
Education,,"Peter Roland Kalb, PhD",,,42.365435,-71.258595,Brandeis University,Assistant Professor,"PhD, 2000"
"Editors, Writers or Publishers",,Ms. Susan R. Kandel,,,,,HarperCollins Publishers, ,"MA, 1988"
Curatorial,,Mr. Laurence B. Kanter,,2011,41.308724,-72.930716,Yale University Art Gallery,Chief Curator,"MA, 1980"
Non-profit Arts Administration,,Ms. Susan Ann Kantor,,,37.780262,-122.416029,Asian Art Museum,Assistant to the Chief Curator,"MA, 2007"
Education,,"Lorraine M. Karafel, PhD",,,,,"Parsons, the New School",Associate Dean and Assistant Professor of Art History,"PhD, 2010"
Education,,Patricia Karetzky,patricia_karetzky.png,,42.022431,-73.906531,Bard College,Oskar Munsterberg Chair of Asian Art,"PhD, 1979"
Conservation,,Ms. Hiroko Kariya,,,,,"Epigraphic Survey, Oriental Institute",Project Conservator,"Certificate in Conservation, 2001"
Education,,"Pepe Karmel, PhD",,,40.729513,-73.996461,New York University,Associate Professor,"PhD, 1993"
Education,,Dr. Anna Kartsonis,,,,,Washington University,"Professor of Art History and Comparative Religion, Emerita","XX '68, IFA (GSAS/Fine Arts)"
Public Relations And Marketing,,Ms. Eliza J. Katz Ward,,,38.898523,-77.046406,The George Washington University Museum and The Textile Museum,Development Manager,"MA, 2006"
Education,,"Ariela Hanna Katz, PhD",,,50.620221,3.130616,Ecole Nationale Superieure d'Architecture et de Paysage de Lille,Associate Prof of Architecture,"PhD, 2014"
Curatorial,,"Ilona Katzew, PhD",,,34.063932,-118.359229,Los Angeles County Museum of Art,Curator and Co-Department Head of Latin American Art,"PhD, 2000"
Education,,Dr. Laura S. Kaufman,,,,,Manhattanville College,Professor Emerita,"MA, 1969"
For-profit Arts Professional,,Ms. Ruth-Lee Kaufmann,,,,, ,Art Consultant,"MA, 1969"
Education,,"Ethan Matt Kavaler, PhD",,,43.662892,-79.395656,University of Toronto,Professor,"PhD, 2002"
Education,,"Joan J. Kee, PhD",joan_kee.png,,42.278044,-83.738224,University of Michigan,Associate Professor of History of Art,"PhD, 2008"
Other Occupations,,Mr. David C. Kellogg,,,,,FoorRest,Healthcare,"MA, 1990"
Other Occupations,,Mr. Matthew H. Kennedy,,,37.793992,-122.394896,ERS Group,Director of Litigation Support,"MA, 1989"
Curatorial,,Ms. Trinita N. Kennedy,,,36.157536,-86.783587,The Frist Center for the Visual Arts, Curator,"MA, 1997"
Education,,"Jaclynne J. Kerner, PhD",,,41.740897,-74.082091,SUNY New Paltz,Assistant Professor,"PhD, 2004"
Education,,Ms. Rochelle Lynne Kessler,,,31.330982,-85.709404,Embry-Riddle Aeronautical University,Adjunct Professor,"MA, 2005"
"Editors, Writers Or Publishers",,Dr. Jennifer M. Kilian,,,,,Kist Kilian Communications, ,"PhD, 1993"
Education,,Ms. Laurie Ann Kilker,,,42.422146,-76.49508,Ithaca College,Lecturer,"NA, 2004"
Conservation,,Ms. Jennifer Junghan Kim,,,34.060541,-118.376731,Margaret Herrick Library,Conservator,"Certificate in Conservation, 2008"
Education,,"Jongwoo Kim, PhD",,,38.210188,-85.759045,University of Louisville,"Associate Professor of Modern Art; Director of Graduate Studies, Department of Fine Art","PhD, 2007"
Non-Profit Arts Administration,,Mr. William C. Kimmel,,,,,The New School for Public Engagement, University Registrar,"XX '84, IFA (GSAS/Fine Arts)"
