Category,Caetgory Description,Name,ImageURL,Date of Appointment,La,Lo,Workplace,Notes,Degree
Education,,Ellen Adams,,,39.510533,-84.730877,Miami University,Assistant Professor,"PhD, 2007"
Education,,Nicholas Adams,,,41.686662,-73.894944,Vassar College,Professor of Art on the Mary Conover Mellon Chair,"MA, 1973"
Education,,Zainab al Bahrani,,,40.807536,-73.962573,Columbia University,Edith Porada Professor of Art History & Archaeology,"PhD, 1989"
Education,,Joseph D. Alchermes,,,41.378688,-72.104587,Connecticut College,Associate Professor,"MA, 1985"
Conservation,,Samantha Alderson,,,40.781324,-73.973988,American Museum of Natural History,"Associate Conservator of Objects, Anthropology Department","Certificate in Conservation, 1994"
Curatorial,,Denise M. Allen,,,40.779187,-73.963535,deschamps,"Curator, European Sculpture/Decorative Arts","MA, 1988"
Education,,Marta Elena Ameri,,,34.804553,-87.67935,Coby College,,"PhD, 2010"
Curatorial,,Lynne D. Ambrosini,,,39.102143,-84.502583,Taft Museum of Art,Chief Curator,"PhD, 1989"
Museum Director,,Patrick Amsellem,,,55.707819,13.198439,Skissernas Museum of Public Art,Director,"PhD, 2007"
Education,,Michael J. Amy,,,43.083203,-77.675612,Rochester Institute of Technology,Associate Professor of Art History,"PhD, 1997"
Education,,Lilli Lonngren Anders,,,40.614594,-74.090871,Wagner College of Staten Island,Professor,"PhD, 1997"
Education,,Martha G. Anderson,,,42.253424,-77.787959,Alfred University,Professor of Art History,
Non-profit Arts Administration,,Katherine Anne Andrews,,,39.960642,-75.172137,The Barnes Foundation,Corporate Programs Manager,"MA, 2007"
Education,,Lynn A. Angelo,,,38.547271,-121.745242,Davis Joint Unified School District,Teacher,"PhD, 1993"
Conservation,,Barbara A. Appelbaum,,,40.797016,-73.9612,Appelbaum & Himmelstein,Partner/Conservator,"Certificate in Conservation, 1973"
Curatorial,,Afsaneh Ardalan,,,42.37414,-71.114187,Arthur M. Sackler Museum,"Research Assistant, Islamic Department","MA, 1990"
Education,,Kathleen Giles Arthur,,,38.435092,-78.869755,James Madison University,"Prof Emeritus of Art History, School of Visual & Performing Arts",
Conservation,,Nancy E. Ash,,,39.96557,-75.180966,Philadelphia Museum of Art,Senior Conservator of Works of Art on Paper,"Certificate in Conservation, 1978"
Non-profit Arts Administration,,Victoria Adoracion Azurin,,,40.781324,-73.973988,American Museum of Natural History,Membership Associate,"MA, 2014"
Non-profit Arts Administration,,Sussan Babaie,babaie.png,,30.033901,31.213813,Binational Fulbright Commission in Egypt,Fulbright Regional Scholar,"PhD, 1994"
Non-profit Arts Administration,,Sherine Badawi Walton,,,34.022352,-118.285117,University of Southern California,"Deputy Director, USC Center on Public Diplomacy","MA, 1998"
Curatorial,,Rhonda M. Baer,,,42.339381,-71.094048,"Museum of Fine Arts, Boston",Senior Curator of European Paintings,"PhD, 1990"
Other Occupations,,Angela Tau Bailey,,,30.332234,-81.655672,Bailey Family Holdings LLC,,"MA, 1988"
Conservation,,Sanchita Balachandran,,,39.329901,-76.620518,Johns Hopkins University ,"Curator/Conservator, Archaeology Museum","Certificate in Conservation, 2003"
Curatorial,,Sanchita Balachandran,,,40.329901,-75.620518,Johns Hopkins University ,"Curator/Conservator, Archaeology Museum","Certificate in Conservation, 2003"
Conservation,,Ann M. Baldwin,,,41.026242,-73.628196,Greenwich Studios,Paper Conservator,"Certificate in Conservation, 1998"
Education,,Jennifer L. Ball,,,40.630942,-73.950582,"Brooklyn College, CUNY","Associate Professor, Art Department","PhD, 2001"
Conservation,,Mary W. Ballard,,,38.888786,-77.026023,Smithsonian Institution,"Senior Textile Conservator, Center for Materials Research & Education","Certificate in Conservation, 1979"
Conservation,,Sarah Barack,,,40.776338,-73.964047,Institute of Fine Arts,Adjunct Faculty ,"Certificate in Conservation, 2003"
Other Occupations,,Birjees Barakat,,,40.763668,-73.974802,Kohlberg Kravis Roberts & Co.,Executive Assistant to John Saer,"PhD, 1984"
Education,,Mary Lee Baranger,,,41.021205,-73.709653,Manhattanville College,Professor Emerita,"PhD, 1960"
Conservation,,Daphne S. Barbour,,,38.891298,-77.019965,National Gallery of Art,Senior Objects Conservator,"Certificate in Conservation, 1988"
Education,,William Lee Barcham,,,40.746901,-73.994081,Fashion Institute of Technology,Professor,"PhD, 1983"
Education,,Julianna Maria Bark,,,46.257938,6.150186,"Webster University, Switzerland",,"PhD, 2009"
Museum Director,,Elizabeth Ellen Barker,,,42.3579,-71.062088,Bost`on Athenaeum,Stanford Calderwood Director,"PhD, 2003"
Non-profit Arts Administration,,Susan Johnston Barnes,,,40.696389,-73.849444,St. Matthew's Episcopal Church,Senior Associate Rector,"PhD, 1986"
For-profit Arts Professional,,Robert A. Baron,,,,,,Photographer,"MA, 1968"
Education,,Beryl Barr-Sharrar,,,40.776338,-73.964047,Institute of Fine Arts,Adjunct Professor/Art Historian,"PhD, 1980"
Conservation,,Julie K. Barten,,,40.78298,-73.958971,Solomon R. Guggenheim Museum,Senior Conservator,"Certificate in Conservation, 1993"
For-profit Arts Professional,,Dorothea L. Basile,,,40.678746,-73.999211,ARTime,Director,"MA, 1988"
Education,,Miriam Basilio,,,40.729513,-73.996461,New York University,Assistant Professor/Faculty Fellow,"PhD, 2002"
Education,,Linda Freeman Bauer,,,33.640495,-117.844296,"University of California, Irvine",Professor,
Conservation,,Kenneth Be,,,41.246108,-95.960385,Gerald R. Ford Conservation Center,Head of Paintings Conservation,"Certificate in Conservation, 1987"
Education,,Madeleine Fidell Beaufort,,,48.859323,2.303893,American University of Paris,"Professor, Art History Department","MA, 1968"
Conservation,,Deborah Bede,,,43.266804,-71.934085,"Stillwater Textile Conservation Studio, LLC",,"Certificate in Conservation, 1982"
Curatorial,,"Daniel M. Belasco, PhD",,,41.741106,-74.083439,Samuel Dorsky Museum of Art,Curator of Exhibitions and Programs,"PhD, 2008"
Non-profit Arts Administration,,Katherine Krupp Benardo,,,40.761433,-73.977622,Museum of Modern Art,Product Developer,"MA, 1991"
Conservation,, Wendy A. Bennett,,,40.444457,-79.918172,Wendy Bennett Fine Art Paper Conservation,,"Certificate in Conservation, 1985"
Curatorial,,Brian William Bentley,,,40.671206,-73.963631,Brooklyn Museum,Curatorial Assistant,"MA, 2013"
Education,,Michelle Lita Berenfeld,,,34.104669,-117.704739,Pitzer College,"Assistant Professor, Department of Classics","PhD, 2002"
Education,,Patricia G. Berman,,,42.293573,-71.305928,Wellesley College,Professor of Art History,"PhD, 1989"
Education,,Jo Anne G. Bernstein,,,37.780054,-122.183162,Mills College,Professor of Art History,
Education,,Aimee Bessire,,,43.655638,-70.260822,Maine College of Art,Assistant Professor of Art History,"MA, 1991"
Education,,William E. Betsch,,,25.721637,-80.279284,University of Miami,"Professor, Department of Art & Art History","PhD, 1967"
Curatorial,,Carol Manson Bier,,,38.91391,-77.051092,The Textile Museum,Research Associate,
Education,,Emily Ida Bills,,,34.213625,-118.348821,Woodbury University,Adjunct Faculty ,"PhD, 2006"
Non-profit Arts Administration,,Emily Ida Bills,,,34.213625,-118.348821,Woodbury University,Director of the Woodbury School of Architecture,"PhD, 2006"
Education,,Heather L. Birdsall,,,,,McElroy Tutoring,Tutor,"MA, 2011"
Education,,Ellen R. Birnbaum,,,40.783062,-73.95268,92nd Street Y Nursery School,Associate Director,"MA , 1991"
Curatorial,,Jennifer M. Blessing,,,40.78298,-73.958971,Solomon R. Guggenheim Museum,Project Curator,"MA, 1990"
Museum Director,,Arthur R. Blumenthal,,,28.592173,-81.346215,Cornell Fine Arts Museum,Director Emeritus,"PhD, 1984"
Conservation,,Gwendolyn Boeve-Jones,,,52.112358,4.359206,Redivivus BV,Director,"Certificate in Conservation, 1994"
Other Occupations,,,,,,,,,
Public Relations and Marketing,,,,,,,,,
"Editors, Writers or Publishers",,,,,,,,,
Education,,"Carol Radcliffe Bolon, PhD",,,,,Fairfax County Public Schools,High School Teacher,"PhD, 1981"
For-profit Arts Professional,,Virginia Anne Bonito,,,40.860903,-73.854685,The Mnemosyne Foundation,Founder and CEO,"MA, 1983"
Education,,Sonya Gale Bonneau,,,38.907609,-77.072258,Georgetown University Law Center,"Associate Professor, Legal Research and Writing","MA, 1992"
For-profit Arts Professional,,Kathryn W. Bonomi,,,41.135149,-73.791739,Jacob Burns Film Center,Independent Film Programmer,"MA, 1988"
Curatorial,,Suzanne R. Boorsch,,,41.308724,-72.930716,Yale University Art Gallery,"Curator, Prints, Drawings, and Photographs","MA, 1975"
Education,,Eve Borsook,,,43.786878,11.309931,Villa I Tatti | The Harvard University Center for Italian Renaissance Studies,Research Associate,
Curatorial,,Edgar P. Bowron,,,29.725069,-95.389499,"The Museum of Fine Arts, Houston",Curator of European Art,"MA, 1969"
Curatorial,,Dr. Laurel E. Bradley,,,45.387384,-75.698039,Carleton College Art Gallery,Director of Exhibitions and Curator,"PhD, 1996"
Non-profit Arts Administration,,Dr. Laurel E. Bradley,,,45.387394,-75.698039,Carleton College Art Gallery,Director of Exhibitions and Curator,"PhD, 1996"
Curatorial,,Ms. Jeanne Brako,,,37.275339,-107.868411,"Fort Lewis College, Center for Southwest Studies",Curator of Collections & Public Programs,"Certificate in Conservation, 2002"
Education,,"Mary K. Brantl, PhD",,,30.230279,-97.75489,St. Edward's University,Art Historian,"PhD, 1998"
