Author,Title,Degree,Year,Advisor,Advisor2,Category
"BADIEE-BANTA, Andaleeb",Bernardo Strozzi: Defining an Artistic Identity in Early Seventeenth-Century Genoa,Ph.D.,2007,"Brown, Jonathan",,Twentieth-Century Art
"BESTOCK, Laurel",The Development of Royal Funerary Cult at Abydos: Two New Funerary Enclosures from the Reign of Aha,Ph.D.,2007,"O'Connor, David",,World Art
"BURNHAM, Helen","Fashion and the Representation of Modernity: Studies in the Late Work of Edouard Manet, 1832-1883",Ph.D.,2007,"Nochlin, Linda",,World Art
"CARTWRIGHT, Sarah",The Collectio Antiquitatum of Giovanni Marcanova (Modena Biblioteca Estense Universitaria Ms. alfa. L.5.15 = Lat. 992) and the Quattrocento Antiquarian Sylloge,Ph.D.,2007,"Alexander, Jonathan J.G.",,World Art
"DESTAEBLER, Peter",The City Wall of Aphrodisias and Civic Identity in Late Antique Asia Minor,Ph.D.,2007,"Ratté, Christopher",,World Art
"DUFFY-ZEBALLOS, Lisa",Murillo's Devotional Paintings and the Late Baroque Culture of Prayer in Seville,Ph.D.,2007,"Brown, Jonathan",,World Art
"ELET, Yvonne","Papal villeggiatura in early modern Rome: poetry, spoils, and stucco at Raphael's Villa Madama",Ph.D.,2007,"Brandt, Kathleen Weil-Garris",,World Art
"EPSTEIN, Johanna",The Impressionist Brush: Perceptions of Seventeenth-Century Dutch Art in France,Ph.D.,2007,"Haverkamp-Begemann, Egbert","Nochlin, Linda",World Art
"GALLIGAN, Gregory","The Cube in the Kaleidoscope: The American Reception of French Cubism, 1918-1938",Ph.D.,2007,"Lubar, Robert S.",,Native American
"GANZ BLYTHE, Sarah",Promising Pictures: Utopian Aspirations and Pictorial Realities in 1890s France,Ph.D.,2007,"Nochlin, Linda",,Nineteenth-Century Art
"GENONI, Mia Reinoso",Filarete in Word and Image: Persuasion and Invention in the Architetonico Libro,Ph.D.,2007,"Trachtenberg, Marvin L.",,Oceanic/Australian Art
"HAMLIN, Amy","Between Form and Subject: Max Beckmann's Critical Reception and Development, ca. 1906-1924",Ph.D.,2007,"Lubar, Robert S.",,Outsider/Folk Art
"HUMPHREY, Lyle","The Illumination of Confraternity and Guild Statues in Venice, ca. 1260-1500: Mariegola Production, Iconography, and Use",Ph.D.,2007,"Alexander, Jonathan J.G.",,Performance Studies
"KIM, Jongwoo",Royal Academicians and the Crisis of Masculinity in Modern England,Ph.D.,2007,"Nochlin, Linda",,Pre-Columbian Art
"KNAAP, Anna C.",Seeing in Sequence: Rubens and the Jesuit Church in Antwerp,Ph.D.,2007,"Haverkamp-Begemann, Egbert",,Native American
"LEOPARDI, Liliana",Aesthetic Hybrids: Interpreting Carlo Crivelli's Ornamental Style,Ph.D.,2007,"Eisler, Colin T.",,Nineteenth-Century Art
"McBREEN, Ellen",The Pinup and the Primitive: Eros and Africa in the Sculpture of Henri Matisse (1906--1909),Ph.D.,2007,"Lubar, Robert S.",,Oceanic/Australian Art
"McGARRY, Rachel Louise","The Young Guido Reni: The Artist in Bologna and Rome, 1575-1605",Ph.D.,2007,"Brown, Jonathan",,Outsider/Folk Art
"RITTER, Jonathan",The American Civic Center: Urban Ideals and Compromise on the Ground,Ph.D.,2007,"Cohen, Jean-Louis",,Performance Studies
"LEHMBECK, Leah Rosenblatt",Edouard Manet's Portraits of Women,Ph.D.,2007,"Nochlin, Linda",,Pre-Columbian Art
"RYDER, Edmund C.",Micromosaic Icons of the Late Byzantine Period,Ph.D.,2007,"Mathews, Thomas F.",,Native American
"SARDAR, Marika",Golconda through Time: A Mirror of the Evolving Deccan,Ph.D.,2007,"Soucek, Priscilla",,Nineteenth-Century Art
"SHEAN, Julie",Models of Virtue: Images and Saint-Making in Colonial Puebla (1640-1800),Ph.D.,2007,"Brown, Jonathan",,Oceanic/Australian Art
"STINSON, Philip",The Civil Basilica of Aphrodisias in its Local and Wider Settings,Ph.D.,2007,"Ratté, Christopher","Welch, Katherine",Outsider/Folk Art
"WAIBOUR, Adriaan",Gabriel Metsu (1629-1667): Life and Work,Ph.D.,2007,"Haverkamp-Begemann, Egbert",,Performance Studies
"BANNER, Lisa",The Religious Patronage of the Duke of Lerma,Ph.D.,2006,"Brown, Jonathan",,Pre-Columbian Art
"BILLS, Emily","The Telephone Shapes Los Angeles: Communications and Built Space, 1880-1950",Ph.D.,2006,"Cohen, Jean-Louis",,Native American
"BUSH, Olga","Architecture, Poetic Texts and Textiles in the Alhambra",Ph.D.,2006,"Soucek, Priscilla",,Oceanic/Australian Art
"DICKERSON, Claude","Bernini and Before: Modeled Sculpture in Rome, ca. 1600-25",Ph.D.,2006,"Westermann, Mariët",,Outsider/Folk Art
"FERGUSON, Sharon","The Art of Sawrey Gilpin: Romantic Expression, Humane Sensibility",Ph.D.,2006,"Rosenblum, Robert",,Performance Studies
"FLANIGAN, Theresa",The Ponte Vecchio: Building an Urbanized Bridge in Early Modern Florence,Ph.D.,2006,"Trachtenberg, Marvin L.",,Pre-Columbian Art
"FLENTYE, Laurel",The Decorated Elite Mastaba and Rock-Cut Tomb in the Eastern and GIS Cemeteries at Giza and their Relationship to the Development of Art During the Fourth Dynasty,Ph.D.,2006,"O'Connor, David",,Native American
"HOBART, Michelle",Sardinian Medieval Churches and their Bacini: Architecture Embedded with Archaeology,Ph.D.,2006,"Trachtenberg, Marvin L.",,Art of the United States
"HOISINGTON, Rena",Maurice-Quentin de la Tour and the Triumph of Pastel Painting in Eighteenth-Century France,Ph.D.,2006,"Westermann, Mariët",,Chinese Art
"KLAR PHILLIPS, Laura","The Architecture of the Roman Theater: Origins, Canonization, and Dissemination",Ph.D.,2006,"Welch, Katherine",,Contemporary Art
"KOON, Yeewan",Literati Iconoclasm: Violence and Estrangement in the Art of Su Renshan (1814-c.1850),Ph.D.,2006,"Hay, Jonathan",,Critical Theory/Gender Studies/Visual Studies
"MICHAEL, Cora",As Much as the Light: The Importance of Shadows in the Art of Camille Pissarro,Ph.D.,2006,"Nochlin, Linda",,Decorative Arts/Textiles/Design History
"NATIF, Mika",Explaining Early Mughal Painting: The Anvar-i-Suhayli Manuscripts,Ph.D.,2006,"Soucek, Priscilla",,Pre-Columbian Art
"PROKOP, Ellen",Fray Juan Andrés Ricci and the Commissions at San Millán de la Cogolla and the Cathedral of Burgos,Ph.D.,2006,"Brown, Jonathan",,Native American
"RUSSAKOFF, Anna","Imaging the Miraculous: Les Miracles de Notre Dame, Paris, BnF, n.acq.fr 24541",Ph.D.,2006,"Alexander, Jonathan J.G.",,Nineteenth-Century Art
"SENOS, Nuno",Franciscan Art and Architecture in Colonial Brazil (1650-1800),Ph.D.,2006,"Brown, Jonathan",,Oceanic/Australian Art
"SIDLEY, Kelly","Beyond Self-Portraiture: The Fabrication of Andy Warhol, 1960-1968",Ph.D.,2006,"Lubar, Robert S.","Storr, Robert",Outsider/Folk Art
"SRIVASTAVA, Seema","Fashioning the Decorative Body in Late Nineteenth Century English and French Painting: Artifice, Color and Style",Ph.D.,2006,"Nochlin, Linda",,Performance Studies
"STOCK, Karen","Bonnard, Vuillard, and Vallotton: Masculinity in Question",Ph.D.,2006,"Nochlin, Linda",,Pre-Columbian Art
"VISCHAK, Deborah",Locality and Community in Old Kingdom Provincial Tombs: The Cemetery at Gubbet el Hawa,Ph.D.,2006,"O'Connor, David",,Native American
"WEINSTEIN, Andrew",After Adorno: The Essayistic Impulse in Holocaust-Related Art,Ph.D.,2006,"Lubar, Robert S.",,Architectural History/Historic Preservation
"CHUNG, Yeon Shim","Ultra-Sauvage, Ultra-Moderne: Paul Gaugin's Ceramics and Sculpture",Ph.D.,2005,"Nochlin, Linda",,Art of the Middle East/North Africa
"DAL LAGO, Francesca","Between High and Low: Modernism, Continuity, and Moral Mission in Chinese Printmaking Practices, 1930-1945",Ph.D.,2005,"Hay, Jonathan",,Art of the United States
"EVANS, Jean",Redefining the Sculpture of Early Dynastic Mesopotamia,Ph.D.,2005,"Hansen, Donald P.",,Art of the Middle East/North Africa
"FLORA, Holly","Imaging, Gender, Poverty, and Spirituality in the Trecento: The Meditationes Vitae Christi",Ph.D.,2005,"Alexander, Jonathan J.G.",,Art of the United States
"KURCZYNSKI, Karen","Beyond Expressionism: Asger Jorn and the European Avant-Garde, 1941-1961",Ph.D.,2005,"Lubar, Robert S.",,Chinese Art
"LANGE, Alexandra","Tower Typewriter and Trademark: Architects, Designers and the Corporate Utopia, 1956-1964",Ph.D.,2005,"Cohen, Jean-Louis",,Contemporary Art
"LEO, Domenic",Authorial Presence in the Illuminated Machaut Manuscripts,Ph.D.,2005,"Alexander, Jonathan J.G.",,Critical Theory/Gender Studies/Visual Studies
"MURATOV, Maya",From the Mediterranean to the Bosporos: Terracotta Figurines with Articulated Limbs,Ph.D.,2005,"Kopcke, Günter H.",,Decorative Arts/Textiles/Design History
"NEMROFF, Lauren S.",The Figure Paintings of Tang Yin (1470-1524),Ph.D.,2005,"Hay, Jonathan",,Early Christian/Byzantine Art
"PAGGI, Maddalena",Four Praenistine Cistas and the Society and Workshops of Praeneste,Ph.D.,2005,"Bonfante, Larissa",,Early Medieval/Romanesque/Gothic Art
"ROMBA, Katherine","Technik und Kultur: The German Architectural Discourse on Iron, 1890-1918",Ph.D.,2005,"Cohen, Jean-Louis",,Egyptian/Ancient Near Eastern Art
"SANABRAIS, Sofia",The Biombo or Folding Screen: Examining the Impact of Japan on Artistic Production and the Globalization of Taste in Seventeenth-Century New Spain,Ph.D.,2005,"Brown, Jonathan",,Eighteenth-Century Art
"SERDARI, Thomai","Albert Mayer, Architect and City Planner: The Case for One Total Professional",Ph.D.,2005,"Cohen, Jean-Louis",,Film/Video
"SUDHALTER, Adrian","Johannes Baader and the Demise of Wilhelmine Culture: Architecture, Dada, and Social Critique, 1875-1920",Ph.D.,2005,"Lubar, Robert S.",,Greek/Roman Art
"WATTLES, Miriam",The Life and Afterlives of Hanabusa Itchô (1652-1724),Ph.D.,2005,"Hay, Jonathan",,Japanese/Korean Art
"CHOI, Kyung-hee","Illuminating Liturgy and Legend: The Missal of Saint-Denis (London, Victoria and Albert Museum Ms. L 1346-1891) and the Royal Abbey in the Fourtheenth Century",Ph.D.,2004,"Alexander, Jonathan J.G.",,Oceanic/Australian Art
"DASKALAKIS, Annie-Christine",Damascus 18th and 19th Century Houses in the Ablaq-Ajami Style of Decoration: Local and International Significance,Ph.D.,2004,"Soucek, Priscilla",,Outsider/Folk Art
"DERSTINE, Andria","The French Academy in Rome, 1666-1737: Art, Society, Politics and Relations with the Accademia di San Luca",Ph.D.,2004,"Posner, Donald",,Performance Studies
"GREET, Michele","Painting the Indian Nation: Pictorial Indigenism as a Modernist Strategy in Ecuadorian Art, 1920-1960",Ph.D.,2004,"Lubar, Robert S.","Sullivan, Edward J.",Pre-Columbian Art
"HUGHES, Meghan",Facing the Fifteenth Century: The Portraits of Jan van Eyck,Ph.D.,2004,"Eisler, Colin T.",,Native American
"INDYCH, Anna","Mexican Muralism without Walls: The Critical Reception of Portable Work by Orozco, Rivera, and Siqueiros in the United States, 1927-1940",Ph.D.,2004,"Lubar, Robert S.","Sullivan, Edward J.",Performance Studies
"KENNEY, Ellen","Power and Patronage in Mamluk Syria: The Architecture and Urban Works of Tankiz al-Nasiri, 1312-1340",Ph.D.,2004,"Soucek, Priscilla",,Pre-Columbian Art
"KERNER, Jaclynne",Art in the Name of Science: Illustrated Manuscripts of the Kitab al-diryaq,Ph.D.,2004,"Soucek, Priscilla",,Prehistoric Art
"LEJA, Jan","Ferdinand Bol and Rembrandt: Authorship and Iconography in Drawings of Biblical Subjects, c.1636-c.1650",Ph.D.,2004,"Haverkamp-Begemann, Egbert",,Renaissance/Baroque Art
"LUCY, Martha",The Evolutionary Body: Refiguring the Nude in Post-Darwinian French Art,Ph.D.,2004,"Nochlin, Linda",,South/Southeast Asian Art
"MARINA, Areli",The Urbanistic Transformation of Parma in the Age of the Commune,Ph.D.,2004,"Trachtenberg, Marvin L.",,Twentieth-Century Art
"RAFANELLI, Lisa",The Ambiguity of Touch: Saint Mary Magdalene and the 'Noli Me Tangere' in Early Modern Italy,Ph.D.,2004,"Brandt, Kathleen Weil-Garris",,World Art
"TURNBULL, Richard",The Muradiye Tomb Complex in Bursa and the Development of the Ottoman Funerary Tradition,Ph.D.,2004,"Soucek, Priscilla",,World Art
"BARKER, Elizabeth E.",A very great and uncommon genius in a peculiar way': Joseph Wright of Derby and candelight painting in eighteenth-century Britain,Ph.D.,2003,"Rosenblum, Robert",,World Art
"GARTON, John",Paolo Veronese's Portraits: Their Creation and Context,Ph.D.,2003,"Eisler, Colin T.",,World Art
"JONES, Leslie","A Barbarian in Asia Henri Michaux's Works in Ink, 1927-1955",Ph.D.,2003,"Lubar, Robert S.",,World Art
"MILLER, Peter Benson",Théodore Chassériau and the French colonial project in Algeria,Ph.D.,2003,"Nochlin, Linda",,World Art
"MINTY, Nancy","Dutch and Flemish seventeenth-century art in America, 1800-1940: collections, connoisseurship and perceptions",Ph.D.,2003,"Haverkamp-Begemann, Egbert",,World Art
"OVERBEY, Karen",The Space of the Holy Body: Relics and Reliquaries in Medieval Ireland,Ph.D.,2003,"Alexander, Jonathan J.G.",,Native American
"POWERS, Edward D.","When father doesn't know best: surrealism, metaphor, masculinity",Ph.D.,2003,"Lubar, Robert S.",,Nineteenth-Century Art
"SAXTON, Juliette-Jo",An Original Artist: Nicolaus Knupfer (Leipzig ca.1605?-Utrecht 1655),Ph.D.,2003,"Haverkamp-Begemann, Egbert",,Oceanic/Australian Art
"SCHRADER, Jeffrey",The Virgin of Atocha and Spanish Habsburg Devotion to Miraculous Images,Ph.D.,2003,"Brown, Jonathan",,Outsider/Folk Art
"SHORTO, Sylvia","Public Lives, Private Places: British Houses in Delhi, 1803-1853",Ph.D.,2003,"Cohen, Jean-Louis",,Performance Studies
"SMITH, Katherine","Sign Language: Pop Art, Vernacular Architecture, and the American Landscape",Ph.D.,2003,"Cohen, Jean-Louis","Lubar, Robert S.",Renaissance/Baroque Art
"TRIPODES, Lucia",François Rude: The Importance of Sculpture,Ph.D.,2003,"Nochlin, Linda",,South/Southeast Asian Art
"BASILIO, Miriam","Re-inventing Spain : images of the nation in painting and propaganda, 1936-1943",Ph.D.,2002,"Lubar, Robert S.",,Twentieth-Century Art
"BERENFELD, Michelle L.",The bishop's palace at Aphrodisias: a late Roman townhouse in the center of the city,Ph.D.,2002,"Ratté, Christopher",,World Art
"BROOKS, Sarah T.",Commemoration of the dead: late Byzantine tomb decoration (mid-thirteenth to mid-fifteenth centuries),Ph.D.,2002,"Mathews, Thomas F.",,Outsider/Folk Art
"CHAPIN, Mary Weaver","Henri de Toulouse-Lautrec and the café-concert : printmaking, publicity, and celebrity in fin-de-siècle Paris",Ph.D.,2002,"Nochlin, Linda",,Performance Studies
"CHI, Jennifer",Studies in the programmatic statuary of Roman Asia Minor,Ph.D.,2002,"Smith, R. R. R.","Welch, Katherine",Pre-Columbian Art
"GAUNT, Jasper",The Attic volute-krater,Ph.D.,2002,"von Bothmer, Dietrich",,Native American
"HAUSMAN, Tami D.","Mobilization and modernization in Vichy France: the national renovation of Paris, 1939-1945",Ph.D.,2002,"Cohen, Jean-Louis",,Nineteenth-Century Art
"HILLINGS, Valerie Lynn","Experimental artists' groups in Europe, 1951-1968: Abstraction, Interaction and Internationalism",Ph.D.,2002,"Lubar, Robert S.",,Oceanic/Australian Art
"KAHIL, Abdallah M.",The Sultan Hasan complex in Cairo 1357-1364,Ph.D.,2002,"Soucek, Priscilla",,Outsider/Folk Art
"KIHARA, Elizabeth",Alfred Stevens (1823-1906) and ''le femme seule'': constructions of modernity in French art of the later nineteenth century,Ph.D.,2002,"Nochlin, Linda",,Performance Studies
"LA FRANCE, Robert G.","Francesco d'Ubertino Verdi, il Bachiacca (1494-1557): ''diligente dipintore''",Ph.D.,2002,"Brandt, Kathleen Weil-Garris",,Pre-Columbian Art
"SALVADORI, Sharon Marie","Per feminam mors, per feminam vita: images of women in the early Christian funerary art of Rome",Ph.D.,2002,"Mathews, Thomas F.",,Native American
"TUCKER, Rebecca",The art of living nobly: the patronage of Prince Frederik Hendrik (1584-1647) at the Palace of Honselaarsdijk during the Dutch Republic,Ph.D.,2002,"Haverkamp-Begemann, Egbert",,Nineteenth-Century Art
"YOLTAR, Aysin",The role of illustrated manuscripts in Ottoman luxury book production: 1413-1520,Ph.D.,2002,"Soucek, Priscilla",,Oceanic/Australian Art
"BALL, Jennifer L.",Byzantine dress,Ph.D.,2001,"Mathews, Thomas F.",,Oceanic/Australian Art
"COUGHLIN, Maura Ann",The artistic origins of the French peasant-painter: Jean-François Millet: between Normandy and Barbizon,Ph.D.,2001,"Nochlin, Linda",,Outsider/Folk Art
"DORSCH, Michael","Strong women, fallen men: French commemorative sculpture following the Franco-Prussian war, 1870-1880",Ph.D.,2001,"Nochlin, Linda",,Performance Studies
"EASTON, Martha",The making of the Huntington Library Legenda Aurea and the meaning of martyrdom,Ph.D.,2001,"Alexander, Jonathan J.G.",,Pre-Columbian Art
"FROOM, Aimée Elisabeth","A Muraqqa` for the Ottoman Sultan Murad III (r. 1574-1595): Österreichische Nationalbibliothek, Codex Mixtus 313",Ph.D.,2001,"Soucek, Priscilla",,Native American
"GALLEN-KALLELA-SIREN, Janne",Axel Gallen and the constructed nation : art and nationalism in young Finland 1880-1900,Ph.D.,2001,"Nochlin, Linda",,Oceanic/Australian Art
"GOODMAN, Eleanor Hope","Royal piety: faith, religious politics, and the experience of art at the Convent of the Descalzas Reales in Madrid",Ph.D.,2001,"Brown, Jonathan",,Outsider/Folk Art
"KOUSSER, Rachel",Sensual power: a warrior Aphrodite in Greek and Roman sculpture,Ph.D.,2001,"Harrison, Evelyn B.",,Performance Studies
"LUEBBERS, Leslie L.","Place, time, and the art of architecture: the education of Charles W. Moore",Ph.D.,2001,"Cohen, Jean-Louis",,Pre-Columbian Art
"PERGAM, Elizabeth A.",Waking the Soul': the Manchester art treasures exhibition of 1857 and the state of arts in mid-victorian Britain,Ph.D.,2001,"Rosenblum, Robert",,Native American
"SVETLIK, Claire","From princess to empress: the transformation of the monarchy in the portraits of Queen Victoria, 1819-1901",Ph.D.,2001,"Nochlin, Linda",,Nineteenth-Century Art
"YILDIRIM, Bahadir",The reliefs from the Roman civil basilica at Aphrodisias in Caria,Ph.D.,2001,"Smith, R. R. R.",,Oceanic/Australian Art
"WUE, Roberta May-Hwa",Making the artist : Ren Bonian (1840-1895) and portraits of the Shanghai art world,Ph.D.,2001,"Hay, Jonathan",,Outsider/Folk Art
"CHEEK, Sheldon L.","Gozzoli, the Camposanto, and the Pisan Renaissance: a Documentary Study of the Old Testament Cycle",Ph.D.,2000,"Eisler, Colin T.",,Performance Studies
"CRENSHAW, S. Paul",Rembrandt's Bankruptcy,Ph.D.,2000,"Haverkamp-Begemann, Egbert",,Pre-Columbian Art
"FRYKLUND, Carina Pia","Studies in Wall Painting in the Southern Low Countries, c.1300-1500",Ph.D.,2000,"Eisler, Colin T.",,African Art (sub-Saharan)
"GOLDBERG, Deborah A.","Isamu Noguchi: The Artist as Engineer and Visionary Designer, 1918-1939",Ph.D.,2000,"Lubar, Robert S.",,Architectural History/Historic Preservation
"HARTWIG, Melinda K.",Institutional Patronage and Social Commemoration in Theban Tomb Painting During the Reigns of Thutmose IV (1419 - 1410 B.C.) and Amenhotep III (1410 - 1382 B.C.),Ph.D.,2000,"O'Connor, David",,Art of the Middle East/North Africa
"HEBERT, Laura",The Temple-Church at Aphrodisias,Ph.D.,2000,"Mathews, Thomas F.",,Art of the United States
"HENDRIX, Elizabeth",The Paint Motifs on Early Cycladic Figures,Ph.D.,2000,"Kopcke, Günter H.",,Chinese Art
"HILL, Marsha",Ancient Egyptian Royal Bronzes : With Special Attention to the Kneeling Pose,Ph.D.,2000,"O'Connor, David",,Contemporary Art
"KALAS, Veronica G.",Rock-Cut Architecture of the Peristrema Valley: Society and Settlement in Byzantine Cappadocia,Ph.D.,2000,"Mathews, Thomas F.",,Critical Theory/Gender Studies/Visual Studies
"KALB, Peter Roland","The Appearance of Modernity : Images of New York City, 1919-1932",Ph.D.,2000,"Lubar, Robert S.",,Decorative Arts/Textiles/Design History
"KATZEW, Ilona",Ordering the Colony : Casta Painting and the Imaging of Race in Eighteenth Century Mexico,Ph.D.,2000,"Lubar, Robert S.","Sullivan, Edward J.",Digital Media/Animation
"KRAMER, Linda Konheim",Aristide Maillol (1861-1944) : Pioneer of Modern Sculpture,Ph.D.,2000,"Nochlin, Linda",,Drawings/Prints/Works on Paper
"L'ENGLE, Susan","The Illumination of Legal Manuscripts in Bologna, 1250-1350: Production and Iconography",Ph.D.,2000,"Alexander, Jonathan J.G.",,Renaissance/Baroque Art
"LEADER, Anne",The Florentine Badia: Monastic Reform in Mural and Cloister,Ph.D.,2000,"Trachtenberg, Marvin L.",,South/Southeast Asian Art
"REILLY, Maura",Le Vice a la Mode: Gustave Courbet and the Vogue for Lesbianism in Second Empire France,Ph.D.,2000,"Nochlin, Linda",,Twentieth-Century Art
"ROTMIL, Lisa Anne",The Artistic Patronage of Anne of Austria (1601-1666): Image - Making at the French Court,Ph.D.,2000,"Brown, Jonathan",,World Art
"RUZICKA, Joseph",The City at Night in Nineteenth-Century British Art,Ph.D.,2000,"Rosenblum, Robert",,Film/Video
"TROWBRIDGE, Mark","Art and Ommegangen: Paintings, Processions, and Dramas in the Late-Medieval Low Countries",Ph.D.,2000,"Eisler, Colin T.",,Greek/Roman Art
"ULUC, Lale",Arts of the Book in Sixteenth Century Shiraz,Ph.D.,2000,"Soucek, Priscilla",,Japanese/Korean Art
"BRODY, Lisa",The Iconography and Cult of the Aphrodite of Aphrodisias,Ph.D.,1999,"Ratté, Christopher",,Latin American/Caribbean Art
"CARROLL, Stephanie",Painting and Theater in France During the Eighteenth Century,Ph.D.,1999,"Rosenblum, Robert",,Native American
"D'SOUZA, Aruna",Cezanne's Bathers : Biography and the Erotics of Paint,Ph.D.,1999,"Nochlin, Linda",,Nineteenth-Century Art
"DAVID, Benjamin",Relations of Painting and Writing in Fifteenth-Century Siena,Ph.D.,1999,"Alexander, Jonathan J.G.",,Oceanic/Australian Art
"KOSLIN, Desiree",The Dress of Monastic and Religious Women As Seen in Art From the Early Middle Ages to the Reformation,Ph.D.,1999,"Alexander, Jonathan J.G.",,Outsider/Folk Art
"LANSING, Gerrit","A Neurotic Mirror': the Painting of O. Louis Gugliemi, 1932?1943",Ph.D.,1999,"Lubar, Robert S.",,Performance Studies
"LEES, Sarah",Representing the Commune of 1871 : the Depiction of Contemporary History in the Early Third Republic,Ph.D.,1999,"Nochlin, Linda",,Pre-Columbian Art
"LENAGHAN, Julia",Portrait Statues of Women in the Roman World,Ph.D.,1999,"Smith, R. R. R.",,Prehistoric Art
"LEVIN, Cecelia",The Ramayana of Loro Jonggrang : Indian Antecedents and Javanese Impetus,Ph.D.,1999,"Hay, Jonathan",,Renaissance/Baroque Art
"LEWIS, Candace",Pottery Towers of Han Dynasty China,Ph.D.,1999,"Hay, Jonathan",,South/Southeast Asian Art
"McILWAIN NISHIMURA, Margot",The Gorleston Psalter : A Study of the Marginal in the VisualCulture of Fourteenth-Century England,Ph.D.,1999,"Alexander, Jonathan J.G.",,Twentieth-Century Art
"MIKOSCH, Elisabeth","Court Dress and Ceremony in the Age of the Baroque, the Royal/Imperial Wedding of 1719 in Dresden",Ph.D.,1999,"Posner, Donald","Raggio, Olga",World Art
"MOLOTIU, Andrei",Allegories of Love in the Late Work of Jean?Honore Fragonard,Ph.D.,1999,"Posner, Donald",,World Art
"ROSENFELD, Jason","New Languages of Nature in Victorian England : the Pre-Raphaelite Landscape, Natural History and Modern Architecture in the 1850's",Ph.D.,1999,"Nochlin, Linda",,World Art
"STANWICK, Paul",Egyptian Royal Sculptures of the Ptolemaic Period,Ph.D.,1999,"O'Connor, David",,World Art
"VAN VOORHIS, Julie",The Sculptor's Workshop at Aphrodisias,Ph.D.,1999,"Smith, R. R. R.",,World Art
"WALDMAN, Louis","The Choir of Florence Cathedral : Transformation of Sacred Space, 1334?1572",Ph.D.,1999,"Brandt, Kathleen Weil-Garris",,World Art
"WISSE, Jacob","Official city painters in Brabant, 1400-1500: A Documentary and Interpretive Approach",Ph.D.,1999,"Eisler, Colin T.",,World Art
"BRANTL, Mary",Agency Studies: Art and Diplomacy in the Northern European Protestant Courts of the Early 17c Portraiture,Ph.D.,1998,"Haverkamp-Begemann, Egbert",,Native American
"CAMBARERI, Marietta",Ippolito Scalza and the 16c Renovation Projects at Orvieto Cathedral,Ph.D.,1998,"Brandt, Kathleen Weil-Garris",,Nineteenth-Century Art
"EARLE, Susan",Puvis de Chavannes and America: His Artistic and Critical Reception 1875-1920,Ph.D.,1998,"Rosenblum, Robert",,Oceanic/Australian Art
"EHRENBERG, Erica",Retrieving Late Babylonian Art: The Seal Impressions from the Eanna Archive at Uruk,Ph.D.,1998,"Hansen, Donald P.",,Outsider/Folk Art
"GORDENKER, Emilie",Careless Romance: Van Dyck and Costume in 17c Portraiture,Ph.D.,1998,"Haverkamp-Begemann, Egbert",,Performance Studies
"GORDON, Ethelyn Adina",The Sculpture of Frederick William MacMonnies: A Critical Catalog,Ph.D.,1998,"Rosenblum, Robert",,Pre-Columbian Art
"GUEST, Gerald","Queens, Kings and Clergy Figures of Authority in the 13c Moralized Bible",Ph.D.,1998,"Alexander, Jonathan J.G.",,Native American
"INGLIS, Erik",Jean Fouquet as a Painter of National History,Ph.D.,1998,"Alexander, Jonathan J.G.",,Nineteenth-Century Art
"JONES, Bernice",Minoan Women's Clothes: An Investigation of their Construction for the Depictions in Art,Ph.D.,1998,"Kopcke, Günter H.",,Oceanic/Australian Art
"PLATZMAN, Steven",Imaging the Artist: Cézanne and the Rhetoric of the Self-Portraits,Ph.D.,1998,"Nochlin, Linda",,Outsider/Folk Art
"RICHTER, Margaret","Gabriel Max: the artist, the Darwinist and the spiritualist",Ph.D.,1998,"Rosenblum, Robert",,Performance Studies
"THOMPSON, Lydia du Pont",The Yi'nan Tomb: Narrative and the Ritual in Pictorial Art of the Eastern Han (25-220 C.E.),Ph.D.,1998,"Hay, Jonathan",,Pre-Columbian Art
"ALCALA, Luisa Elena","The Jesuits and the visual arts in New Spain, 1670-1767",Ph.D.,1998,"Brown, Jonathan",,Native American
"BECKER, Jane Rachel","Only one art: The interaction of painting and sculpture in the work of Medardo Rosso, Auguste Rodin, and Eugene Carriere, 1884-1906",Ph.D.,1998,"Nochlin, Linda",,Nineteenth-Century Art
"DE BEAUMONT, Kim Teresa",Reconsidering Gabriel de Saint-Aubin (1724-1780): The background for his scenes of Paris,Ph.D.,1998,"Posner, Donald",,Oceanic/Australian Art
"GALITZ, Kathryn Calley","The family paradigm in French painting, 1789-1814",Ph.D.,1998,"Rosenblum, Robert",,Outsider/Folk Art
"MCDONOUGH, Thomas Francis",The construction of reserve: Urbanism and experience in Rousseau's Paris,Ph.D.,1998,"Nochlin, Linda",,Performance Studies
"ROSENBERG, Susan","Brancusi and postwar Paris: Portraiture, primitivism, and patronage in the 1920s",Ph.D.,1998,"Lubar, Robert S.",,Pre-Columbian Art
"RYOR, Kathleen Marie",Bright pearls hanging in the marketplace: Self-expression and commodification in the painting of Xu Wei,Ph.D.,1998,"Hay, Jonathan",,Native American
"AMY, Michael",Michelangelo's Commission for Apostle Statue for the Cathedral of Florence,Ph.D.,1997,"Brandt, Kathleen Weil-Garris",,Nineteenth-Century Art
"CHOU, Fang-mei","The Life and Art of Wen Boren (1502-1575),",Ph.D.,1997,"Hay, Jonathan",,Oceanic/Australian Art
"GIURESCU, Ena","Trecento Family Chapels in Santa Maria Novella and Santa Croce: Architecture, Patronage and Competition",Ph.D.,1997,"Trachtenberg, Marvin L.",,Outsider/Folk Art
