Author,Title,Degree,Year,Advisor,Advisor2,Category
"GARDINER, Alexandra",Women Avowed: Female Representations on Attic White Ground Lekythoi,M.A.,2012,"Kopcke, Günter H.",,Performance Studies
"MIRANDA, Amy","Three Critical Circuses for Roman Architecture: The Circus Maximus, Circus Varianus, and Circus of Maxentius",M.A.,2012,"Welch, Katherine",,Pre-Columbian Art
"COLLINS, Matthew",Mussolini the Demigod: From Pictures and Words to Buildings and Streets,M.A.,2012,"Cohen, Jean-Louis",,Native American
"DE PINTO, Austen Leigh",Women of Aphrodisias: Female Portrait Sculpture in its Civic and Cultural Context,M.A.,2012,"Welch, Katherine",,Art of the Middle East/North Africa
"WYSOCKI, Kathryn",Images for the King: The Bronze Plaques of the Benin Court in their Architectural Context,Ph.D.,2012,"Hay, Jonathan",,Art of the United States
"PACKER, Lelia","Imitation and Innovation in Materials in Early Modern Northern European Art: Pen Prints, Pen Drawings, and Pen Paintings, c 1580-1670",Ph.D.,2012,"Westermann, Mariët",,Chinese Art
"MONTROSS, Sarah","Cartographic Communication: Latin American New Media Artists in New York, Juan Downey and Jaime Davidovich (1960s-1980s)",Ph.D.,2012,"Sullivan, Edward J.",,Contemporary Art
"LEAPER, Laura","Time, Memory and Ritual: deciphering visual rhetoric in Diego Valades’ Rhetorica Christiana",Ph.D.,2012,"Brown, Jonathan",,Critical Theory/Gender Studies/Visual Studies
"CONSIDINE, Liam","New Realisms: Pop Art in France, 1962-1968",Ph.D.,2012,"Crow, Thomas",,Decorative Arts/Textiles/Design History
"FRANCO, Ana","Edgar Negret and Eduard Ramirez-Villamizar: Transnational Encounters and the Rise of Modernism in Colombian Art, 1944-1964",Ph.D.,2012,"Sullivan, Edward J.",,Nineteenth-Century Art
"WILLIAMS, Evan",Ever Drifting: Anna Atkins and the Birth of the Photobook,M.A.,2012,"Slifkin, Robert",,Oceanic/Australian Art
"YOUNG, Allison",Penny Siopis' My Lovely Day: Film and the Politics of Memory in Post-Apartheid South Africa,M.A.,2012,"Nochlin, Linda",,Outsider/Folk Art
"WILLIAMS, Sandra",Antoin Sevruguin and His Contemporaries,M.A.,2012,"Soucek, Priscilla",,Performance Studies
"WINNIK, Arielle",Silks with Ornamental Palmette Tree Designs in Late Antique Egypt,M.A.,2012,"Thomas, Thelma",,Pre-Columbian Art
"WHITE, Kathleen","Damaged Child: Poor Children in Photography, Print and Film of the Great Depression",M.A.,2012,"Nochlin, Linda",,Native American
"VIGNONE, Vittoria",From Attributes to Emblems: Pervasive Imagery of Cortigiane Oneste in Sixteenth-Century Italian Painting,M.A.,2012,"Hood, William",,Nineteenth-Century Art
"USLIP, Jeffrey",Cady Noland: Towards (And Against) A 1960s Methodology,M.A.,2012,"Slifkin, Robert",,Oceanic/Australian Art
"SMALL, Samantha",Agency in Print: Kathe Kollwitz and Fin-de-Siècle German Print Culture,M.A.,2012,"Nochlin, Linda",,Outsider/Folk Art
"SHEN, Frances Holly",The Art/work of Mel Bochner’s Working Drawings,M.A.,2012,"Weiss, Jeffrey",,Performance Studies
"SHAHI, Kimia","…To draw the Eyes of the Spectators upon them: Bernard Picart and the Indian Image, in the Cérémonies et coutumes religieuses de tous les peuples du monde",M.A.,2012,"Flood, Finbarr Barry",,Art of the Middle East/North Africa
"SERRANO, Blanca","The Baroque and the Neo-Baroque in the Cuban Visual and Literary Avant-Gardes, 1930-50",M.A.,2012,"Sullivan, Edward J.",,Art of the United States
"DE LA VáLGOMA RODRíGUEZ-MONGE, Blanca","Politics and Portraits: The Exchange of Royal Portraits between Spain, France and Austria in the 1650s",M.A.,2012,"Brown, Jonathan",,Chinese Art
"PISANO, Elizabeth",A Good Picture Always Sells Well?: Charles T. Yerkes and the Rise of Spectacle in the Modern Auction,M.A.,2012,"Brown, Jonathan",,Critical Theory/Gender Studies/Visual Studies
"NELSEN, Erika",The Collection of Jules S. Bache,M.A.,2012,"Brown, Jonathan",,Decorative Arts/Textiles/Design History
"MELCHIN, Emily",Women's Work: Images of Women by WPA-FAP Female Printmakers,M.A.,2012,"Nochlin, Linda",,Nineteenth-Century Art
"MARCELINO, Kimberly",Disappearance and Depiction: Illustrations of Itinerant Traders in Post-Industrial Paris and London,M.A.,2012,"Nochlin, Linda",,Oceanic/Australian Art
"LANGER, Amelia","Antonio Seguí, 1961-1970: Buenos Aires to Paris",M.A.,2012,"Sullivan, Edward J.",,Outsider/Folk Art
"LANG, Melinda",Un-stacking Judd’s Stacks: The Delegated Fabrication Process,M.A.,2012,"Weiss, Jeffrey",,Nineteenth-Century Art
"KLASSON, Emily",Deutschland will leben- Deutschland muß bauen: Architectural Exhibitions in Postwar Germany,M.A.,2012,"Cohen, Jean-Louis",,Oceanic/Australian Art
"KIM, Rachel",Hervé Télémaque’s Return to Figuration,M.A.,2012,"Sullivan, Edward J.",,Art of the Middle East/North Africa
"KIEFER, Emma Rose","Andrea, Nardo, and Jacopo di Cionel Collaboration in Mid-Trecento Florentine Painting",M.A.,2012,"Nagel, Alexander",,Art of the United States
"KHALID, Farisa",Starstruck: Thomas Hart Benton and Hollywood,M.A.,2012,"Crow, Thomas",,Chinese Art
"JONES, Rebecca",Hiroshi Sugimoto's Dioramas and Medieval Holy Images,M.A.,2012,"Nagel, Alexander",,Contemporary Art
"HARDIN, Sarah",Charlotte Park’s Paintings and Abstract Expressionism,M.A.,2012,"Nochlin, Linda",,Critical Theory/Gender Studies/Visual Studies
"EMERSON, Julie","Painting the ""Authentic"": Carlos Alberto Castellanos on Both Sides of the Atlantic",M.A.,2012,"Sullivan, Edward J.",,Art of the Middle East/North Africa
"COYLE, Alexander",Historical Problems and the Representation of Time at San Marco in Venice,M.A.,2012,"Trachtenberg, Marvin L.",,Art of the United States
"COURCOULAS, Alexandra",Constructing Cities/ Constructing Identities: Thessaloniki and Izmir in the early Twentieth Century,M.A.,2012,"Cohen, Jean-Louis",,Chinese Art
"CANNARELLA, Emily","Tradition, Imitation, and Ornament: Giorgio Vasari’s Holy Family with Saint Anne and Saint John the Baptist in the Acton Collection, Villa La Pietra",M.A.,2012,Rubin. Patricia,,Contemporary Art
"BUNNELL, Natalie","Modernismo and Magazine Illustration in Mexico City, 1890-1910",M.A.,2012,"Sullivan, Edward J.",,Critical Theory/Gender Studies/Visual Studies
"BROWN, Michelle",Dancing with Scissors: Embodied Responses to Matisse's Representations of Dance,M.A.,2012,"Nochlin, Linda",,Decorative Arts/Textiles/Design History
"BRASS, Mary",Roman Catholic Imagery and Philosophy in Rauschenberg's Work of the 1950s and 60s,M.A.,2012,"Crow, Thomas",,Digital Media/Animation
"BEZVERKHNY, Eva","The New Vision: The Cinematic Apparatus in Russia, Germany, and France, 1920-1929",M.A.,2012,"Lubar, Robert S.",,Drawings/Prints/Works on Paper
"AHMED, Alzahraa","Refiguring Figurines: The Many Lives of Amulets/Dolls across the Byzantine and Islamic Eastern Mediterranean, 6th -12th Century",M.A.,2012,"Thomas, Thelma",,Early Christian/Byzantine Art
"GUSTAFSON, Erik",Tradition and Renewal in the Thirteenth-Century Franciscan Architecture of Tuscany,Ph.D.,2012,"Trachtenberg, Marvin L.",,Early Medieval/Romanesque/Gothic Art
"POPKIN, Maggie","The Triumphal Route in Republican and Imperial Rome: Architecture, Experience, and Memory",Ph.D.,2012,"Welch, Katherine",,Egyptian/Ancient Near Eastern Art
"NELSON, Adele","The Monumental and the Ephemeral: The São Paulo Bienal and the Emergence of Abstraction in Brazil, 1946-1954",Ph.D.,2012,"Sullivan, Edward J.",,Eighteenth-Century Art
"MATTEINI, Michele","Painting in the Age of Evidential Scholarship (Kaozheng): Luo Ping’s Late Years, ca 1770-1799",Ph.D.,2012,"Hay, Jonathan",,Film/Video
"LEE, Yulin",Strategies of Spatialization in the Contemporary Art Museum: An Exploratory Study of New Museums of Contemporary Art in Japan,Ph.D.,2012,"Cohen, Jean-Louis",,Greek/Roman Art
"JOHNSON, Danielle","Salvador Dalí and René Magritte, 1928-1938",Ph.D.,2012,"Lubar, Robert S.",,Japanese/Korean Art
"JACOBI, Lauren",The Topography of Money: The Architecture and Urbanism of Banks in Renaissance Italy,Ph.D.,2012,"Trachtenberg, Marvin L.",,Latin American/Caribbean Art
"GRAFF, Sarah",Humbaba/Huwawa,Ph.D.,2012,"Welch, Katherine",,Native American
"GARDONIO-FOATE, Casey",Professional Women Artists of Iberia’s Golden Age: Careers in Context,Ph.D.,2012,"Brown, Jonathan",,Nineteenth-Century Art
"UDELL, Jennifer",Times of Day and Times of Year on Athenian Vases,Ph.D.,2012,"Marconi, Clemente",,Oceanic/Australian Art
"MADOLE,Sarah",Innovation and Identity on Mythological Frieze Sarcophagi from Roman Asia Minor,Ph.D.,2012,"Welch, Katherine",,Outsider/Folk Art
"LEYVA-GUTIERREZ, Niria E.,",Painting Power: Images of Ecclesiastical Authority in Seventeenth-Century New Spain,Ph.D.,2012,"Brown, Jonathan",,Art of the Middle East/North Africa
"KASL, Ronda","The Making of Hispano-Flemish Style: Art, Commerce, and Politics in Fifteenth-Century Castile",Ph.D.,2012,"Haverkamp-Begemann, Egbert",,Art of the United States
"HUNG, Karen","Carved Elegance: Hans Thoman, German Renaissance Sculptor",Ph.D.,2012,"Eisler, Colin T.",,Latin American/Caribbean Art
"FOWLKES, Isabel","The Cults of Syrian-Phoenician Gods in Rome: Archaeology, Topography, and Connections to the Roman East",Ph.D.,2012,"Marconi, Clemente",,Contemporary Art
"AJELLO, Guendalina","Afterlives: The Reuse, Adaptation and Transformation of Roma’s Ancient theaters",Ph.D.,2012,"Trachtenberg, Marvin L.",,Critical Theory/Gender Studies/Visual Studies
"HUCKINS, Pamela","Art in the Alta California Mission Churches, 1769-1834",Ph.D.,2011,"Brown, Jonathan",,Egyptian/Ancient Near Eastern Art
"HUTTERER, Maile",Broken Outlines and Structural Exhibitionism: the Flying Buttress as Aesthetic Choice in Medieval France,Ph.D.,2011,"Trachtenberg, Marvin L.",,World Art
"VEITH, Jessica",Memorializing the Past: Jan de Bray and the Construction of Identity in Seventeenth-Century Haarlem,Ph.D.,2011,"Westermann, Mariët",,World Art
"DAVIDSON, Vanessa","Paulo Bruscky and Edgardo Antonio Vigo: Pioneers in Alternative Communication Networks, Conceptualism, and Performance (1960s-1980)",Ph.D.,2011,"Sullivan, Edward J.",,World Art
"MCCARTHY, Heather","Queenship, Cosmography, and Regeneration: The Decorative Programs and Architecture of Ramesside Royal Women's Tombs",Ph.D.,2011,"O'Connor, David",,World Art
"Adamjee, Qamar",Strategies for Visual Narration in the Illustrated Chandayan Manuscripts,Ph.D.,2011,"Soucek, Priscilla",,World Art
"MOORE, Kathryn",Italian Copies of Holy Land Architecture: The Illustrated Versions of Niccolò da Poggibonsi’s Libro d’Oltramare,Ph.D.,2011,"Trachtenberg, Marvin L.",,World Art
"KORTE, Cheryl",Polychromed Quattrocento Sculpture in Florence,Ph.D.,2011,"Eisler, Colin T.",,World Art
"LACKMAN, Jonathan",Art-Critical Invective in Paris: 1844-1876,Ph.D.,2011,"Nochlin, Linda",,Native American
"KINNEE, Lauren",The Roman Trophy: From Battlefield Marker to Emblem of Power,Ph.D.,2011,"Welch, Katherine",,Nineteenth-Century Art
"Jozefacka, Anna","Rebuilding Warsaw: Conflicting Visions of a Capital City, 1916-1956",Ph.D.,2011,"Cohen, Jean-Louis",,Oceanic/Australian Art
"HEUER, Keely",The Head as a Decorative Motif in South Italian Vase Painting,Ph.D.,2011,"Mertens, Joan",,Outsider/Folk Art
"COUTRE, Jacquelyn","Jan Lievens: Painting, Politics and Decoration in Dutch Art, 1653-1669",Ph.D.,2011,"Haverkamp-Begemann, Egbert",,Performance Studies
"CASTANEDA, Luis","The Twilight of the Miracle: The Politics of Architecture in Mexico, 1953-1968",Ph.D.,2011,"Cohen, Jean-Louis",,World Art
"CALVERT, Amy",The Integration of Quantitative and Qualitative Research in a Study of the Regalia of Ramses III,Ph.D.,2011,"O'Connor, David",,Native American
"BLOKKER, Johanna","(Re) Constructing Identity: World War II and the Reconstruction of Cologne’s Destroyed Romanesque Churches, 1945-1985",Ph.D.,2011,"Cohen, Jean-Louis",,Nineteenth-Century Art
"BELL, Esther",Charles-Antoine Coypel: Painting and Performance in Eighteenth-Century France,Ph.D.,2011,"Brown, Jonathan",,Oceanic/Australian Art
"Turnbow, Heather",Sacrophagi and Funerary Display in Roman Aphrodisias,Ph.D.,2011,"Welch, Katherine",,Nineteenth-Century Art
"KAMADA, Yumiko","Flowers on Floats: The Production, Circulation, and Reception of Early Modern Indian Carpets",Ph.D.,2011,"Soucek, Priscilla",,Performance Studies
"ISRAEL, Matthew",Paradigms of Protest: American Artists Against the Vietnam War,Ph.D.,2011,"Storr, Robert",,Pre-Columbian Art
"BROWN, Michael","Portraiture in New Spain, 1600-1800: Painters, Patrons and Politics in Viceregal Mexico",Ph.D.,2011,"Brown, Jonathan",,Native American
"AMERI, Marta","Sealing at the Edge of the third Millennium Middle Asian Interaction Spheres: The View from Gilund, Rajasthan, India",Ph.D.,2010,"Pittman, Holly","Soucek, Priscilla",Nineteenth-Century Art
"KARAFEL, Lorraine","Raphael’s all’antica Tapestries for Pope Leo X: Art, Culture, and Politics in Early Sixteenth-Century Rome",Ph.D.,2010,"Eisler, Colin T.",,Oceanic/Australian Art
"HORTON, Heather",Authority and Innovation in Alberti’s Theory and Practice,Ph.D.,2010,"Trachtenberg, Marvin L.",,Outsider/Folk Art
"STRAUSSMAN-PFLANZER, Eve",Felsine Pittrici: The Women Artists of Early Modern Bologna,Ph.D.,2010,"Nochlin, Linda",,Performance Studies
"DONATI, Jamieson",Towards an Agora: The Spatial and Architectural Development of Greek Commercial and Civic Space in the Peloponnese,Ph.D.,2010,"Marconi, Clemente",,Pre-Columbian Art
"HARRIS, Lindsay","Picturing the 'Primitive': Photography, Architecture, and the Construction of Italian Modernism, 1911 - 1936",Ph.D.,2010,"Cohen, Jean-Louis",,Native American
"HRYCHUK, Anne","From Fornix to Arcus: The Origins, Development and Imperial Transformation of the Freestanding Roman Arch (196 BCE to 54 CE)",Ph.D.,2010,"Welch, Katherine",,Performance Studies
"MCEWEN, Abigail","The Practice and Politics of Cuban Abstraction, c. 1952-1963",Ph.D.,2010,"Sullivan, Edward J.",,Performance Studies
"SAMU, Margaret",The Female Nude in Nineteenth-Century Russian Art: A Study in Assimilation and Resistance,Ph.D.,2010,"Nochlin, Linda",,Performance Studies
"WAXMAN, Lori","A Few Steps towards a Revloution of Everyday Life: Walking with the Surrealists, the Situationist International, and Fluxus",Ph.D.,2010,"Crow, Thomas",,Chinese Art
"PAIK, Tricia Y.","A palpable vision: Ellsworth Kelly in New York, 1954-1969",Ph.D.,2009,"Lubar, Robert S.",,Contemporary Art
"POLEDNIK, Marcelle",History in the making: Sigmar Polke and photography,Ph.D.,2009,"Lubar, Robert S.",,Critical Theory/Gender Studies/Visual Studies
"ZIEVE, Karen","Painting between the Lines: Eugène Delacroix, Orientalism, and Other Histories",Ph.D.,2009,"Nochlin, Linda",,Decorative Arts/Textiles/Design History
"NOGRADY, Elizabeth Ann","Abraham Bloemaert (1566--1651), the 'Netherlandish Academy' and artistic collaboration in seventeenth-century Utrecht",Ph.D.,2009,"Westermann, Mariët",,Oceanic/Australian Art
"LUGLI, Emanuele",Pietre di paragone: The production of spatial order in the twelfth-century Lombard city,Ph.D.,2009,"Trachtenberg, Marvin L.",,Outsider/Folk Art
"MARLAR, Michelle",The Osiris Temple at Abydos: An archaeological investigation of the architecture and decorative elements of two temple phases,Ph.D.,2009,"O'Connor, David",,Performance Studies
"LUBOWSKI, Alicia Eve",The picture of nature: Alexander von Humboldt and the tropical American landscape,Ph.D.,2009,"Sullivan, Edward J.",,Pre-Columbian Art
"STOKIC, Jovana","The body beautiful: Feminine self-representations, 1970--2007",Ph.D.,2009,"Nochlin, Linda",,Native American
"SCHWARTZ-SIMON, Malka",The space of production: Brooklyn and the creation of an urban industrial landscape,Ph.D.,2009,"Cohen, Jean-Louis",,Nineteenth-Century Art
