Author,Title,Degree,Year,Advisor,Advisor2,Category,Category2,,IFA categories (just for reference)
"JACOFF, Michael",A Bolognese Psalter of the Late Thirteenth Century and its Byzantine Sources,Ph.D.,1976,"Buchthal, Hugo",,"Early Christian, Byzantine, and Western Medieval Art",,,
"MATTHEWS, Jane Timken",The Pantocrator: Title and Image,Ph.D.,1976,"Buchthal, Hugo",,"Early Christian, Byzantine, and Western Medieval Art",,,
"BERGER, Pamela",The Notitia Dignitatum,Ph.D.,1974,"Buchthal, Hugo",,"Ancient Aegean, Egyptian, Greek and Roman Art",,,
"STAHL, Harvey","The Iconographic Sources of the Old Testament Miniatures, Pierpont Morgan Library, M638",Ph.D.,1974,"Buchthal, Hugo",,"Early Christian, Byzantine, and Western Medieval Art",,,
"LEVIN, Inabelle",The Quedlinburg Itala Fragments,Ph.D.,1971,"Buchthal, Hugo",,"Early Christian, Byzantine, and Western Medieval Art",,,
"STEVENSON, Thomas B.",The Miniatures of the Vatican Virgil,Ph.D.,1970,"Buchthal, Hugo",,"Ancient Aegean, Egyptian, Greek and Roman Art",,,
"SPAIN, Suzanne",The Program of the Fifth-century Mosaics of Santa Maria Maggiore,Ph.D.,1968,"Buchthal, Hugo",,"Early Christian, Byzantine, and Western Medieval Art",,,
"LEE, Minna Mee-Young",The Archaic Korai from the Athenian Akropolis: A Re-examination of the Material Evidence,Ph.D.,2014,"Clemente, Marconi",,,,,
"HENDRICKS, Ruth Genevieve","Collision and Collusions: Interactions in Le Corbusier’s Art and Architecture, Purism and Beyond",Ph.D.,2013,"Cohen, Jean-Louis",,Architecture,,,
"SHEWARD, Deanna",Building for the Bomb: Monumentality and the Manhattan Project,Ph.D.,2013,"Cohen, Jean-Louis",,Architecture,,,Collecting; Curatorial and Museum Studies
"SIGUR, Hannah","Neoclassicism and National Identity: Japan, the United States, and International Expositions 1862-1915",Ph.D.,2013,"Cohen, Jean-Louis",,Architecture,,,
"LEE, Yulin",Strategies of Spatialization in the Contemporary Art Museum: An Exploratory Study of New Museums of Contemporary Art in Japan,Ph.D.,2012,"Cohen, Jean-Louis",,Architecture,Contemporary Art,,
"BLOKKER, Johanna","(Re) Constructing Identity: World War II and the Reconstruction of Cologne’s Destroyed Romanesque Churches, 1945-1985",Ph.D.,2011,"Cohen, Jean-Louis",,Nineteenth- and Twentieth-Century Art,Architecture,,
"CASTANEDA, Luis","The Twilight of the Miracle: The Politics of Architecture in Mexico, 1953-1968",Ph.D.,2011,"Cohen, Jean-Louis",,Latin American Art,Architecture,,
"Jozefacka, Anna","Rebuilding Warsaw: Conflicting Visions of a Capital City, 1916-1956",Ph.D.,2011,"Cohen, Jean-Louis",,Architecture,Nineteenth- and Twentieth-Century Art,,
"HARRIS, Lindsay","Picturing the 'Primitive': Photography, Architecture, and the Construction of Italian Modernism, 1911 - 1936",Ph.D.,2010,"Cohen, Jean-Louis",,Architecture,Nineteenth- and Twentieth-Century Art,,
"SCHWARTZ-SIMON, Malka",The space of production: Brooklyn and the creation of an urban industrial landscape,Ph.D.,2009,"Cohen, Jean-Louis",,Architecture,,,
"LOURIE, Ariane","Mass-Produced Aura: Thonet and the Market for Modern Design, 1930-1953",Ph.D.,2008,"Cohen, Jean-Louis",,Nineteenth- and Twentieth-Century Art,,,
"AMSELLEM, Patrick","Remembering the Past, Constructing the Future. The Memorial to the Deportation in Paris and Experimental Commemoration after the Second World War",Ph.D.,2007,"Cohen, Jean-Louis",,Architecture,Nineteenth- and Twentieth-Century Art,,
"RITTER, Jonathan",The American Civic Center: Urban Ideals and Compromise on the Ground,Ph.D.,2007,"Cohen, Jean-Louis",,Architecture,,,
"BILLS, Emily","The Telephone Shapes Los Angeles: Communications and Built Space, 1880-1950",Ph.D.,2006,"Cohen, Jean-Louis",,Architecture,,,
"LANGE, Alexandra","Tower Typewriter and Trademark: Architects, Designers and the Corporate Utopia, 1956-1964",Ph.D.,2005,"Cohen, Jean-Louis",,Nineteenth- and Twentieth-Century Art,Architecture,,
"ROMBA, Katherine","Technik und Kultur: The German Architectural Discourse on Iron, 1890-1918",Ph.D.,2005,"Cohen, Jean-Louis",,Architecture,,,
"SERDARI, Thomai","Albert Mayer, Architect and City Planner: The Case for One Total Professional",Ph.D.,2005,"Cohen, Jean-Louis",,Architecture,,,
"SHORTO, Sylvia","Public Lives, Private Places: British Houses in Delhi, 1803-1853",Ph.D.,2003,"Cohen, Jean-Louis",,Architecture,,,
"HAUSMAN, Tami D.","Mobilization and modernization in Vichy France: the national renovation of Paris, 1939-1945",Ph.D.,2002,"Cohen, Jean-Louis",,Nineteenth- and Twentieth-Century Art,,,
"LUEBBERS, Leslie L.","Place, time, and the art of architecture: the education of Charles W. Moore",Ph.D.,2001,"Cohen, Jean-Louis",,Architecture,,,
"HALPERN, Galia",Open Geography and the Illuminated Mandeville's Travels,Ph.D.,2015,"Eisler, Colin T.",,,,,
"BYCK, John Ivey",New Keys to an Old Master with the Key and Early Engraving in the North,Ph.D.,2015,"Eisler, Colin T.",,,,,
"ROSENTHAL, Earl Edgar",The Cathedral of Granada; a Study in the Spanish Renaissance,Ph.D.,1953,"Cook, Walter W.S.",,Renaissance Art,Architecture,,
"BOBER, Harry",The Illustrations in the Printed Books of Hours: Iconographic and Stylistic Problems,Ph.D.,1949,"Cook, Walter W.S.",,"Early Christian, Byzantine, and Western Medieval Art",,,
"GODWIN, Frances Gray",The Illustrations to the Book of Judith in the Middle Ages,Ph.D.,1945,"Cook, Walter W.S.",,"Early Christian, Byzantine, and Western Medieval Art",,,
"SONDHEIMER, J. Parker","Hispano-Moresque Ivory Carving of the Tenth and Eleventh Centuries A.D. from Cordova, Medina ez-Zahara and Cuenca",Ph.D.,1934,"Cook, Walter W.S.",,"Early Christian, Byzantine, and Western Medieval Art",Art of the Middle East and South Asia,,
"CANNADY, Lauren",Owing to Nature and Art: The Garden Landscape and the Eighteenth-Century French Interior,Ph.D.,2014,"Crow, Thomas",,Seventeenth- and Eighteenth-Century Art,,,Renaissance Art
"FEDERMAN, Rachel","Framing Los Angeles: Artists' Environments and Institutional Space, 1962-1994",Ph.D.,2013,"Crow, Thomas",,Contemporary Art,Nineteenth- and Twentieth-Century Art,,
"CONSIDINE, Liam","New Realisms: Pop Art in France, 1962-1968",Ph.D.,2012,"Crow, Thomas",,Nineteenth- and Twentieth-Century Art,,,
"WAXMAN, Lori","A Few Steps towards a Revloution of Everyday Life: Walking with the Surrealists, the Situationist International, and Fluxus",Ph.D.,2010,"Crow, Thomas",,Nineteenth- and Twentieth-Century Art,,,
"SALLAND, Patrick Charles",Palatial Paintings and Programs: The Symbolic World of the Egyptian Palace in the New Kingdom (c. 1550-1069 BCE),Ph.D.,2015,"David, O'Connor",,,,,
"BABCOCK, Jennifer Miyuki",Anthropomorphized Animal Imagery on New Kingdom Ostraca and Papyri: Their Artistic and Social Significance,Ph.D.,2014,"David, O'Connor",,,,,
"TEMKIN, Susanna",Un arte social y revolucionario (A Social and Revolutionary Art): Marcelo Pogolotti and the International Avant-Garde,Ph.D.,2016,"Sullivan, Edward J.",,,,,
"ROBERTS, Jodi",Photography and the Contested Spaces of Buenos Aires under Juan Domingo Perón,Ph.D.,2015,"Sullivan, Edward J.",,,,,
"KAPLAN, Rachel Sarane",Mexican Modernism at Home and Abroad: The Legacy of Inés Amor and the Galería de Arte Mexicano,Ph.D.,2015,"Sullivan, Edward J.",,,,,
"SOLOMONS, Delia Laura",Installing Latin American Art for Cold War Culture: U.S. Exhibitions (1959–1967),Ph.D.,2015,"Sullivan, Edward J.",,,,,
"BRODBECK, Anna K","Parallel Situations: Artur Barrio, Brazilian Art, and International Exchange in the Post-Studio Era (1969-1974)",Ph.D.,2014,"Sullivan, Edward J.",,,,,
"CORRADINO, Christopher",Giovanni Mansueti Painting in Venice,Ph.D.,2014,"Eisler, Colin T.",,Seventeenth- and Eighteenth-Century Art,,,"Early Christian, Byzantine, and Western Medieval Art"
"IMBREY, Jai",Fictive Frames in Mantegna’s Devotional Art,Ph.D.,2013,"Eisler, Colin T.",,Seventeenth- and Eighteenth-Century Art,,,
"HUNG, Karen","Carved Elegance: Hans Thoman, German Renaissance Sculptor",Ph.D.,2012,"Eisler, Colin T.",,Renaissance Art,,,
"KORTE, Cheryl",Polychromed Quattrocento Sculpture in Florence,Ph.D.,2011,"Eisler, Colin T.",,Renaissance Art,,,
"KARAFEL, Lorraine","Raphael’s all’antica Tapestries for Pope Leo X: Art, Culture, and Politics in Early Sixteenth-Century Rome",Ph.D.,2010,"Eisler, Colin T.",,Renaissance Art,,,
CROIZAT-GLAZER Yassana,"Fashioning Femininity: Beauty, royalty and the Rhetoric of Gender at Fontaine Bleau",Ph.D.,2008,"Eisler, Colin T.",,Renaissance Art,,,
"YOON, Rangsook","Albrecht Dürer, The Printmaker and Self-Publisher: His Formative Years up to the Publication of the Apocalypse of 1498",Ph.D.,2008,"Eisler, Colin T.",,Renaissance Art,,,
"LEOPARDI, Liliana",Aesthetic Hybrids: Interpreting Carlo Crivelli's Ornamental Style,Ph.D.,2007,"Eisler, Colin T.",,Renaissance Art,,,
"HUGHES, Meghan",Facing the Fifteenth Century: The Portraits of Jan van Eyck,Ph.D.,2004,"Eisler, Colin T.",,Renaissance Art,,,
"GARTON, John",Paolo Veronese's Portraits: Their Creation and Context,Ph.D.,2003,"Eisler, Colin T.",,Renaissance Art,,,
"CHEEK, Sheldon L.","Gozzoli, the Camposanto, and the Pisan Renaissance: a Documentary Study of the Old Testament Cycle",Ph.D.,2000,"Eisler, Colin T.",,Renaissance Art,,,
"FRYKLUND, Carina Pia","Studies in Wall Painting in the Southern Low Countries, c.1300-1500",Ph.D.,2000,"Eisler, Colin T.",,"Early Christian, Byzantine, and Western Medieval Art",Renaissance Art,,
"TROWBRIDGE, Mark","Art and Ommegangen: Paintings, Processions, and Dramas in the Late-Medieval Low Countries",Ph.D.,2000,"Eisler, Colin T.",,"Early Christian, Byzantine, and Western Medieval Art",,,
"WISSE, Jacob","Official city painters in Brabant, 1400-1500: A Documentary and Interpretive Approach",Ph.D.,1999,"Eisler, Colin T.",,"Early Christian, Byzantine, and Western Medieval Art",Renaissance Art,,
"SIMOR, Suzanna Beatrice","'I Believe'' Images of the Credo, Charlemagne to Luther",Ph.D.,1996,"Eisler, Colin T.",,"Early Christian, Byzantine, and Western Medieval Art",Renaissance Art,,
"BURKE, Suzanne Maureen",Ambrogio Lorenzetti's Sala della Pace: Its Historiography and its ''sensus astrologicus'',Ph.D.,1994,"Eisler, Colin T.",,"Early Christian, Byzantine, and Western Medieval Art",,,
"NELSON, Jonathan",The Later Works of Filippino Lippi: From his Roman Sojourn Until his Death (ca. 1489-1504),Ph.D.,1992,"Eisler, Colin T.",,Renaissance Art,,,
"SANKOVITCH, Anne-Marie",The Church of Saint-Eustache in the Early French Renaissance,Ph.D.,1991,"Eisler, Colin T.",,Renaissance Art,,,
"SANTORE, Cathy",La Bella: The Painted Venetian Beauty in Renaissance Art and Society,Ph.D.,1990,"Eisler, Colin T.",,Renaissance Art,,,
"JACOBS, Lynn F.","Aspects of Netherlandish Carved Altarpieces, 1380-1530",Ph.D.,1986,"Eisler, Colin T.",,Renaissance Art,"Early Christian, Byzantine, and Western Medieval Art",,
"WOLFTHAL, Diane","The Beginnings of Netherlandish Canvas Painting, 1400-1530",Ph.D.,1983,"Eisler, Colin T.",,Renaissance Art,,,
"STEINKE, William August",The Flamboyant Gothic Church of Caudebec-en-Caux: A Neglected Masterpiece of French Medieval Architecture,Ph.D.,1982,"Eisler, Colin T.",,"Early Christian, Byzantine, and Western Medieval Art",,,
"HEDBERG, Gregory",Antoniazzo Romano and his School,Ph.D.,1980,"Eisler, Colin T.",,Renaissance Art,,,
"STRAUSS, Monica",The Master of the Barberini Panels: Fra Carnevale,Ph.D.,1979,"Eisler, Colin T.",,Renaissance Art,,,
"FUSCO, Laurie S.","The Nude as Protagonist: Pollaiuolo's Figural Style Explicated by Leonardo's Study of Static Anatomy, Movement, and Functional Anatomy",Ph.D.,1978,"Eisler, Colin T.",,Renaissance Art,,,
"LEVENSON, Jay Alan",Jacopo de'Barbari and Northern Art of the Early Sixteenth Century,Ph.D.,1978,"Eisler, Colin T.",,Renaissance Art,,,
"NOSTITZ, Charles E. von",Late Gothic Sculpture of Cologne,Ph.D.,1978,"Eisler, Colin T.",,"Early Christian, Byzantine, and Western Medieval Art",,,
"MARTONE, Mario Thomas",The Theme of the Conversion of Paul in Italian Paintings from the Early Christian Period to the Early Renaissance,Ph.D.,1977,"Eisler, Colin T.",,"Early Christian, Byzantine, and Western Medieval Art",Renaissance Art,,
"DE WINTER, Patrick M.","The Patronage of Philippe le Hardi, Duke of Burgundy 1364-1404",Ph.D.,1976,"Eisler, Colin T.",,"Early Christian, Byzantine, and Western Medieval Art",,,
"ORTH, Myra Dickman","Progressive Tendencies in French Manuscript Illumination, 1515-1530: Godefroy le Batava and the 1520's Hours Workshop",Ph.D.,1976,"Eisler, Colin T.",,Renaissance Art,,,
"TANNER, Marie",Titian: The Poesie for Philip II,Ph.D.,1976,"Eisler, Colin T.",,Seventeenth- and Eighteenth-Century Art,,,
"WALLEN, Burr E.",Hemessen: Style and Iconography,Ph.D.,1976,"Eisler, Colin T.",,Renaissance Art,,,
"WILSON, Carolyn",Bellini's Pesaro Altarpiece: A Study in Context and Meaning,Ph.D.,1976,"Eisler, Colin T.",,Renaissance Art,,,
"BUCHAN, Mary Braman",The Paintings of Pieter Aertsen,Ph.D.,1975,"Eisler, Colin T.",,Renaissance Art,,,
"OMELIA, John Ferrata",Niccolò da Foligno and his Frescoes for S. Maria-in-Campis,Ph.D.,1975,"Eisler, Colin T.",,Renaissance Art,,,
"SCHWARTZ, Sheila",The Iconography of the Rest on the Flight into Egypt,Ph.D.,1975,"Eisler, Colin T.",,"Early Christian, Byzantine, and Western Medieval Art",,,
"LIPTON, Deborah",Francesco Squarcione,Ph.D.,1974,"Eisler, Colin T.",,Renaissance Art,,,
"ZAFRAN, Eric M.","The Iconography of Anti-Semitism: A Study of the Representation of the Jews in the Visual Arts of Europe, 1400-1600",Ph.D.,1973,"Eisler, Colin T.",,Renaissance Art,,,
"KOSLOW, Susan Joan","The Chevrot Altarpiece: Its Sources, Meaning and Significance",Ph.D.,1972,"Eisler, Colin T.",,"Early Christian, Byzantine, and Western Medieval Art",,,
"KAHR, Madlyn Millner",The Book of Esther in Seventeenth-century Dutch Art,Ph.D.,1966,"Eisler, Colin T.",,Seventeenth- and Eighteenth-Century Art,,,
"MILLER, Naomi",French Renaissance Fountains,Ph.D.,1966,"Eisler, Colin T.",,Renaissance Art,,,
"PETERSON, Samuel R.",Shi'ism and Late Iranian Arts,Ph.D.,1981,"Ettinghausen, Richard",,Art of the Middle East and South Asia,,,
"WHELAN, Estelle J.",The Public Figure: Political Iconography in Medieval Mesopotamia,Ph.D.,1979,"Ettinghausen, Richard",,Art of the Middle East and South Asia,,,
"JENKINS, Marilyn",Medieval Maghribi Ceramics,Ph.D.,1978,"Ettinghausen, Richard",,Art of the Middle East and South Asia,Art of the Middle East and South Asia,,
"WHITMAN, Marina D.",Persian Blue-and-white Ceramics: Cycles of Chinoiserie,Ph.D.,1978,"Ettinghausen, Richard",,Art of the Middle East and South Asia,,,
"SIMS, Eleanor G.",The Garrett Manuscript of the Zafar-Name: A Study in Fifteenth-century Timurid Patronage,Ph.D.,1973,"Ettinghausen, Richard",,Art of the Middle East and South Asia,,,
"SOUCEK, Priscilla Parsons",Illustrated Manuscripts of Nizami's Khamseh: 1386-1482,Ph.D.,1971,"Ettinghausen, Richard",,Art of the Middle East and South Asia,,,
"EATON-KRAUSS, Marianne",The Representations of Statues on Old Kingdom Private Tombs,Ph.D.,1978,"Fischer, Henry G.",,"Ancient Aegean, Egyptian, Greek and Roman Art",,,
"LILYQUIST, Christine",Ancient Egyptian Mirrors from the Earliest Times through the Middle Kingdom,Ph.D.,1971,"Fischer, Henry G.",,"Ancient Aegean, Egyptian, Greek and Roman Art",,,
"DOTSON, Esther Gordon",Shakespeare Illustrated,Ph.D.,1973,"Friedländer, Walter",,Renaissance Art,,,
"POSNER, Donald",The Roman Style of Annibale Carracci and his School,Ph.D.,1962,"Friedländer, Walter",,Renaissance Art,Seventeenth- and Eighteenth-Century Art,,
"CRELLY, William Richard",The Painting of Simon Vouet and its Relationship to the Art of Italy,Ph.D.,1958,"Friedländer, Walter",,Renaissance Art,,,
"ROSENBLUM, Robert",The International Style of 1800: a Study in Linear Abstraction,Ph.D.,1956,"Friedländer, Walter",,Nineteenth- and Twentieth-Century Art,,,
"COSTELLO, Jane",Nicolas Poussin and the Genesis of French Classicism,Ph.D.,1951,"Friedländer, Walter",,Seventeenth- and Eighteenth-Century Art,,,
"KNOWLTON, John Howard Barnes",The Graphic Art of Gustave Doré,Ph.D.,1951,"Friedländer, Walter",,Nineteenth- and Twentieth-Century Art,,,
"HALE, Eunice Mylonas",Charles Demuth: His Study of the Figure,Ph.D.,1974,"Goldwater, Robert",,Nineteenth- and Twentieth-Century Art,,,
"HILLS, Patricia Schulze",The Genre Painting of Eastman Johnson: The Sources and Development of his Style and Themes,Ph.D.,1973,"Goldwater, Robert",,Nineteenth- and Twentieth-Century Art,,,
"KEYES, Donald D.",Aspects of the Development of Genre Painting in the Hudson River Area before 1852,Ph.D.,1973,"Goldwater, Robert",,Nineteenth- and Twentieth-Century Art,,,
"MANDEL, Patricia Carroll",Homer Dodge Martin: American Landscape Painter,Ph.D.,1973,"Goldwater, Robert",,Nineteenth- and Twentieth-Century Art,,,
"NASGAARD, Roald",Willumsen and Symbolist Art 1888-1910,Ph.D.,1973,"Goldwater, Robert",,Nineteenth- and Twentieth-Century Art,,,
"MANN, Maybelle",Francis William Edmonds: Mammon and Art,Ph.D.,1972,"Goldwater, Robert",,Nineteenth- and Twentieth-Century Art,,,
"TALBOT, William Silas","Jasper F. Cropsey, 1823-1900",Ph.D.,1972,"Goldwater, Robert",,Nineteenth- and Twentieth-Century Art,,,
"WATTENMAKER, Richard J.",The Art of William Glackens,Ph.D.,1972,"Goldwater, Robert",,Nineteenth- and Twentieth-Century Art,,,
"NEEDHAM, Gerald","The Paintings of Claude Monet, 1859-1878",Ph.D.,1971,"Goldwater, Robert",,Nineteenth- and Twentieth-Century Art,,,
"CARR, Eleanor M.",The New Deal and the Sculptor,Ph.D.,1969,"Goldwater, Robert",,Nineteenth- and Twentieth-Century Art,,,
"FINKELSTEIN, Irving, L.",The Life and Art of Josef Albers,Ph.D.,1968,"Goldwater, Robert",,Nineteenth- and Twentieth-Century Art,,,
"FRANCISCONO, Marcel",The Founding of the Bauhaus in Weimar: Its Artistic Background and First Conception,Ph.D.,1968,"Goldwater, Robert",,Nineteenth- and Twentieth-Century Art,,,
"SIHARE, Laxmi Prasad","Oriental Influences on Wassily Kandinsky and Piet Mondrian, 1909-1917",Ph.D.,1967,"Goldwater, Robert",,Nineteenth- and Twentieth-Century Art,,,
"NOCHLIN, Linda",The Development and Nature of Realism in the Work of Gustave Courbet: A Study of the Style and its Social and Artistic Background,Ph.D.,1963,"Goldwater, Robert",,Nineteenth- and Twentieth-Century Art,,,
"TABOROFF, June H.","Bistam, Iran: the Architecture, Setting and Patronage of an Islamic Shrine",Ph.D.,1981,"Grabar, Oleg",,Art of the Middle East and South Asia,,,
"EVANS, Jean",Redefining the Sculpture of Early Dynastic Mesopotamia,Ph.D.,2005,"Hansen, Donald P.",,"Ancient Aegean, Egyptian, Greek and Roman Art",,,
"EHRENBERG, Erica",Retrieving Late Babylonian Art: The Seal Impressions from the Eanna Archive at Uruk,Ph.D.,1998,"Hansen, Donald P.",,"Ancient Aegean, Egyptian, Greek and Roman Art",,,
"BAHRANI, Zainab","The Administrative Building at Tell Al Hiba, Lagash",Ph.D.,1989,"Hansen, Donald P.",,"Ancient Aegean, Egyptian, Greek and Roman Art",,,
"BERGOFFEN, Celia J.",A Comparative Study of the Regional Distribution of Cypriote Pottery in Canaan and Egypt in the Late Bronze Age,Ph.D.,1989,"Hansen, Donald P.",,"Ancient Aegean, Egyptian, Greek and Roman Art",,,
"HEIM, Suzanne",Glazed Architectural Elements in Elam and Related Material from Luristan,Ph.D.,1989,"Hansen, Donald P.",,Art of the Middle East and South Asia,,,
"WILSON, Karen L.",A Definition and Relative Chronology of the Jamdat Nasr Period,Ph.D.,1985,"Hansen, Donald P.",,Art of the Middle East and South Asia,,,
"LAIRD, Marsa",Linear-style Cylinder Seals of the Akkadian to Post-Akkadian Periods,Ph.D.,1984,"Hansen, Donald P.",,Art of the Middle East and South Asia,,,
"ABRAMSON, Jerry",Style and Structure in Oceanic Art,Ph.D.,1983,"Hansen, Donald P.",,African and Oceanic Art,,,
"BIER, Lionel",The ''Sassanian Palace'' Near Sarvistan,Ph.D.,1979,"Hansen, Donald P.",,Art of the Middle East and South Asia,,,
"YULE, Paul","Early Cretan Seals: A Study in Typology, Style and Chronology",Ph.D.,1979,"Hansen, Donald P.",,"Ancient Aegean, Egyptian, Greek and Roman Art",,,
"PELZEL, Suzanne Meek",Perforated Sumerian Votive Plaques,Ph.D.,1973,"Hansen, Donald P.",,Art of the Middle East and South Asia,,,
"KOUSSER, Rachel",Sensual power: a warrior Aphrodite in Greek and Roman sculpture,Ph.D.,2001,"Harrison, Evelyn B.",,"Ancient Aegean, Egyptian, Greek and Roman Art",,,
"GROSSMAN, Janet Burnett",The Sculptured Funerary Monuments of the Classical Period in the Athenian Agora,Ph.D.,1995,"Harrison, Evelyn B.",,"Ancient Aegean, Egyptian, Greek and Roman Art",,,
"GOODLETT, Virginia Campbell",Collaboration in Greek Sculpture: The Literary and Ephigraphical Evidence,Ph.D.,1989,"Harrison, Evelyn B.",,"Ancient Aegean, Egyptian, Greek and Roman Art",,,
"GADBERY, Laura M.",Three Fifth-century B.C. Statue Bases from the Athenian Agora,Ph.D.,1988,"Harrison, Evelyn B.",,"Ancient Aegean, Egyptian, Greek and Roman Art",,,
"MILLEKER, Elizabeth Johnston",The Statue of Apollo Lykeios in Athens,Ph.D.,1986,"Harrison, Evelyn B.",,"Ancient Aegean, Egyptian, Greek and Roman Art",,,
"ROCCOS, Linda Jones",The Shoulder-pinned-back Mantle in Greek and Roman Sculpture,Ph.D.,1986,"Harrison, Evelyn B.",,"Ancient Aegean, Egyptian, Greek and Roman Art",,,
"EDWARDS, Charles M.",Greek Votive Reliefs to Pan and the Nymphs,Ph.D.,1985,"Harrison, Evelyn B.",,"Ancient Aegean, Egyptian, Greek and Roman Art",,,
"VENIT, Marjorie Susan","Painted Pottery from the Greek Mainland Found in Egypt, 650-450 B.C",Ph.D.,1982,"Harrison, Evelyn B.",,"Ancient Aegean, Egyptian, Greek and Roman Art",,,
"WALTERS, Elizabeth J.",Attic Grave Reliefs that Represent Women in the Dress of Isis,Ph.D.,1982,"Harrison, Evelyn B.",,"Ancient Aegean, Egyptian, Greek and Roman Art",,,
"MARK, Ira S.",Nike and the Cult of Athena Nike on the Athenian Acropolis,Ph.D.,1979,"Harrison, Evelyn B.",,"Ancient Aegean, Egyptian, Greek and Roman Art",,,
"KASL, Ronda","The Making of Hispano-Flemish Style: Art, Commerce, and Politics in Fifteenth-Century Castile",Ph.D.,2012,"Haverkamp-Begemann, Egbert",,"Early Christian, Byzantine, and Western Medieval Art",,,
"COUTRE, Jacquelyn","Jan Lievens: Painting, Politics and Decoration in Dutch Art, 1653-1669",Ph.D.,2011,"Haverkamp-Begemann, Egbert",,Seventeenth- and Eighteenth-Century Art,,,
"ANDERSON, Susan",Witty and Lascivious Amusements: The Drawings of Cornelis Dusart and the Dawn of the Eighteenth Century,Ph.D.,2007,"Haverkamp-Begemann, Egbert",,Seventeenth- and Eighteenth-Century Art,,,
"KNAAP, Anna C.",Seeing in Sequence: Rubens and the Jesuit Church in Antwerp,Ph.D.,2007,"Haverkamp-Begemann, Egbert",,Seventeenth- and Eighteenth-Century Art,,,
"WAIBOUR, Adriaan",Gabriel Metsu (1629-1667): Life and Work,Ph.D.,2007,"Haverkamp-Begemann, Egbert",,Seventeenth- and Eighteenth-Century Art,,,
"LEJA, Jan","Ferdinand Bol and Rembrandt: Authorship and Iconography in Drawings of Biblical Subjects, c.1636-c.1650",Ph.D.,2004,"Haverkamp-Begemann, Egbert",,Seventeenth- and Eighteenth-Century Art,,,
"MINTY, Nancy","Dutch and Flemish seventeenth-century art in America, 1800-1940: collections, connoisseurship and perceptions",Ph.D.,2003,"Haverkamp-Begemann, Egbert",,Seventeenth- and Eighteenth-Century Art,Collecting; Curatorial and Museum Studies,,
"SAXTON, Juliette-Jo",An Original Artist: Nicolaus Knupfer (Leipzig ca.1605?-Utrecht 1655),Ph.D.,2003,"Haverkamp-Begemann, Egbert",,Seventeenth- and Eighteenth-Century Art,,,
"TUCKER, Rebecca",The art of living nobly: the patronage of Prince Frederik Hendrik (1584-1647) at the Palace of Honselaarsdijk during the Dutch Republic,Ph.D.,2002,"Haverkamp-Begemann, Egbert",,Seventeenth- and Eighteenth-Century Art,,,
"CRENSHAW, S. Paul",Rembrandt's Bankruptcy,Ph.D.,2000,"Haverkamp-Begemann, Egbert",,Seventeenth- and Eighteenth-Century Art,,,
"BRANTL, Mary",Agency Studies: Art and Diplomacy in the Northern European Protestant Courts of the Early 17c Portraiture,Ph.D.,1998,"Haverkamp-Begemann, Egbert",,Seventeenth- and Eighteenth-Century Art,,,
"GORDENKER, Emilie",Careless Romance: Van Dyck and Costume in 17c Portraiture,Ph.D.,1998,"Haverkamp-Begemann, Egbert",,Seventeenth- and Eighteenth-Century Art,,,
"RUBY, Louisa Wood",The Drawings of Paul Bril: A Study of their Role in 17th Century European Landscape,Ph.D.,1996,"Haverkamp-Begemann, Egbert",,Seventeenth- and Eighteenth-Century Art,,,
"WESTERMANN, Mariët",The Amusements of Jan Steen: Comic Painting in the Seventeenth Century,Ph.D.,1996,"Haverkamp-Begemann, Egbert",,Seventeenth- and Eighteenth-Century Art,,,
"DICKEY, Stephanie S.","Prints, Portraits and Patrons in Rembrandt's Work Around 1640",Ph.D.,1994,"Haverkamp-Begemann, Egbert",,Seventeenth- and Eighteenth-Century Art,,,
"KILIAN, Jennifer M.",The Paintings of Karel du Jardin (1626-1678),Ph.D.,1993,"Haverkamp-Begemann, Egbert",,Seventeenth- and Eighteenth-Century Art,,,
"CHONG, Alan",Aelbert Cuyp and the Meanings of Landscape,Ph.D.,1992,"Haverkamp-Begemann, Egbert",,Seventeenth- and Eighteenth-Century Art,,,
"KAVALER, Ethan Matt",Pieter Brugel and the Common Man: Art and Ideology in Sixteenth-century Antwerp,Ph.D.,1992,"Haverkamp-Begemann, Egbert",,Renaissance Art,,,
"KONOWITZ, Ellen","Dirk Jaobsz. Vellert: A Study of his Stained Glass Windows, Drawings and Prints",Ph.D.,1992,"Haverkamp-Begemann, Egbert",,Seventeenth- and Eighteenth-Century Art,,,
"ORENSTEIN, Nadine Monica",Hendrik Hondius (Duffel 1573-The Hague 1650) and the Business of Prints,Ph.D.,1992,"Haverkamp-Begemann, Egbert",,Seventeenth- and Eighteenth-Century Art,,,
"BAER, Ronni",The Paintings of Gerrit Dou (1613-1675),Ph.D.,1990,"Haverkamp-Begemann, Egbert",,Seventeenth- and Eighteenth-Century Art,,,
"FRANITS, Wayne E. J.",'The Vertues which ought to be in a compleate woman'': Domesticity in Seventeenth-century Dutch Art,Ph.D.,1987,"Haverkamp-Begemann, Egbert",,Seventeenth- and Eighteenth-Century Art,,,
"BARNES, Susan J.",Van Dyck in Italy: 1621-1628,Ph.D.,1986,"Haverkamp-Begemann, Egbert",,Seventeenth- and Eighteenth-Century Art,,,
