Author,Title,Degree,Year,Advisor,Advisor2,Category,Category2,,IFA categories (just for reference)
"AMERI, Marta","Sealing at the Edge of the third Millennium Middle Asian Interaction Spheres: The View from Gilund, Rajasthan, India",Ph.D.,2010,"Pittman, Holly","Soucek, Priscilla",Art of the Middle East and South Asia,,,
"WALTON, Guy E.",The Sculptures of Pierre Puget,Ph.D.,1967,"Friedländer, Walter","Sterling, Charles",Seventeenth- and Eighteenth-Century Art,,,
"SIDLEY, Kelly","Beyond Self-Portraiture: The Fabrication of Andy Warhol, 1960-1968",Ph.D.,2006,"Lubar, Robert S.","Storr, Robert",Nineteenth- and Twentieth-Century Art,,,
"BRODSKY, Estrellita Bograd","Latin American artists in postwar Paris: Jesus Rafael Soto and Julio Le Parc, 1950--1970",Ph.D.,2009,"Lubar, Robert S.","Sullivan, Edward J.",Latin American Art,Nineteenth- and Twentieth-Century Art,,
"KLICH, Lynda","Revolution and Utopia: Estridentisimo and the Visual Arts, 1921-27",Ph.D.,2008,"Lubar, Robert S.","Sullivan, Edward J.",Latin American Art,Nineteenth- and Twentieth-Century Art,,
"GREET, Michele","Painting the Indian Nation: Pictorial Indigenism as a Modernist Strategy in Ecuadorian Art, 1920-1960",Ph.D.,2004,"Lubar, Robert S.","Sullivan, Edward J.",Nineteenth- and Twentieth-Century Art,Latin American Art,,
"INDYCH, Anna","Mexican Muralism without Walls: The Critical Reception of Portable Work by Orozco, Rivera, and Siqueiros in the United States, 1927-1940",Ph.D.,2004,"Lubar, Robert S.","Sullivan, Edward J.",Nineteenth- and Twentieth-Century Art,Latin American Art,,
"KATZEW, Ilona",Ordering the Colony : Casta Painting and the Imaging of Race in Eighteenth Century Mexico,Ph.D.,2000,"Lubar, Robert S.","Sullivan, Edward J.",Seventeenth- and Eighteenth-Century Art,Latin American Art,,
"SEVERINI, Lois",The Architecture of Finance: Wall Street 1825-62,Ph.D.,1981,"Hitchcock, Henry Russell","Trachtenberg, Marvin L.",Architecture,Nineteenth- and Twentieth-Century Art,,
"LAMOUREUX, Richard E.",Alberti's Church of San Sebastiano in Mantua,Ph.D.,1975,"Krautheimer, Richard","Trachtenberg, Marvin L.",Renaissance Art,Architecture,,
"BUCKLAND, Rosina",Traveling Bunjin to Imperial Household Artists: Taki Katei (1880-1901) and Transformation of Literati in Late Nineteenth-Century Japan,Ph.D.,2008,"Hay, Jonathan","Trede, Melanie",East Asian Art,Nineteenth- and Twentieth-Century Art,,
"STAPLEFORD, Richard",The Excavation of the Early Christian Martyr's Complex of Sinforsa near Rome,Ph.D.,1974,"Krautheimer, Richard","von Blanckenhagen, Peter","Early Christian, Byzantine, and Western Medieval Art",,,
"CUTTLER, Charles David","The Temptations of Anthony in Art, From Earliest Times to the First Quarter of the XVI Century",Ph.D.,1952,"Schönberger, Guido","Weinberger, Martin","Early Christian, Byzantine, and Western Medieval Art",Renaissance Art,,
"STINSON, Philip",The Civil Basilica of Aphrodisias in its Local and Wider Settings,Ph.D.,2007,"Ratté, Christopher","Welch, Katherine","Ancient Aegean, Egyptian, Greek and Roman Art",,,
"CHI, Jennifer",Studies in the programmatic statuary of Roman Asia Minor,Ph.D.,2002,"Smith, R. R. R.","Welch, Katherine","Ancient Aegean, Egyptian, Greek and Roman Art",,,
"BRANDON, Claire Rita",Spaces of Art in the Exhibition Age: Italy as a Laboratory for Global Exhibition Paradigms since 1970,Ph.D.,2016,"Alexander, Nagel",,,,,
"HERMAN, Nicholas","Jean Bourdichon (1457-1521): Tradition, Transition, Renewal",Ph.D.,2014,"Alexander, Jonathan J.G.",,"Early Christian, Byzantine, and Western Medieval Art",,,"Ancient Aegean, Egyptian, Greek and Roman Art"
"HANAN, Melanie","Romanesque Casket Reliquaries: Forms, Meanings, and Development",Ph.D.,2013,"Alexander, Jonathan J.G.",,"Early Christian, Byzantine, and Western Medieval Art",,,
