Name,Date,La,Lo,Place,Notes
Nam June Paik,1994,26.12367,-80.143564,Fort Lauderdale Museum of Art,"""The Electronic Super Highway: Travels with Nam June Paik, Nov. 4,1994-Jan. 15, 1995"""
Nam June Paik,1995,39.76691,-86.149964,Indianapolis Museum of Art,"Feb. 18-April 16, 1995"
Nam June Paik,1995,39.96196,-83.002984,Columbus Museum of Art,"June 11-Sept. 17, 1995"
Nam June Paik,1995,39.95228,-75.162454,Philadelphia Academy of the Fine Arts,"Oct. 28, 1995-Jan. 15, 1996"
Nam June Paik,1996,37.338475,-121.885794,San Jose Museum of Art,"Feb. 7-May 5,1996"
Nam June Paik,1996,32.715695,-117.161719,"San Diego, Museum of Contemporary Art","June 1-Sept. 19, 1996"
Nam June Paik,1997,39.11338,-94.626824,Nelson-Atkins Museum of Art,"July 13-Sept. 14, 1997"
Nam June Paik,1997,21.30477,-157.857614,Honolulu Academy of Art,"Nov. 6, 1997-Jan. 4, 1998"
Nam June Paik,1999,53.0751,8.804708,Kunsthalle Bremen,"""Nam June Paik: Fluxus/Video"" Nov. 14, 1999-Jan. 23, 2000"
Nam June Paik,2000,40.782979,-73.958867,Guggenheim Museum,"""The Worlds of Nam June Paik"""
Nam June Paik,2001,43.26865,-2.946119,Museo Guggenheim Bilbao Spain,"""Installation view: The Worlds of Nam June Paik"""
Nam June Paik,2004,52.516074,13.376987,Deutsche Guggenheim,"""Global Groove 2004"""
Bill Viola,1973,41.428116,-85.753033,Everson Museum of Art,"""New Video Work"""
Bill Viola,1974,40.745377,-74.006871,The Kitchen Center,"""Bill Viola: Video and Sound Installations"""
Bill Viola,1983,48.85693,2.3412,Musee d'Art Moderne de la Ville de Paris,"""Bill Viola"""
Bill Viola,1985,34.05349,-118.245319,"Museum of Contemporary Art, Los Angeles","""Summer 1985"""
Bill Viola,1985,59.33228,18.06284,Moderna Museet,"""Bill Viola"""
Bill Viola,1987,40.761418,-73.977757,The Museum of Modern Art,"""Bill Viola: Installations and Videotapes"""
Bill Viola,1988,29.76045,-95.369784,Contemporary Arts Museum,"""Bill Viola: Survey of a Decade"""
Bill Viola,1989,35.819691,136.140884,Fukui Prefectural Museum of Art,"""The 3rd Fukui International Video Biennale"""
Bill Viola,1990,48.76486,2.168425,Fondation Cartier pour l'Art Contemporain,"""Bill Viola: The Sleep of Reason"""
Bill Viola,1992,47.218115,-1.553059,Musee des Beaux-Arts,"""Bill Viola: Nantes Triptych"""
Bill Viola,1992,47.60356,-122.329439,Donald Young Gallery,"""Bill Viola"""
Bill Viola,1992,51.506325,-0.127144,Anthony d'Offay Gallery,"""Bill Viola: Two Installations"""
