Name,Date,La,Lo,Place,Notes
Joan Jonas,1978,43.653226,-79.383184,Art Metropole,
Joan Jonas,1978,40.761418,-73.977757,Museum of Modern Art,
Joan Jonas,1978,44.681987,-63.744311,Nova Scotia College of Art and Design,
Joan Jonas,1978,50.937531,6.960279,Rolf Ricke Galerie,
Joan Jonas,1978,37.77493,-122.419415,San Francisco Art Institute,
Joan Jonas,1978,50.85034,4.35171,Television Belge,
Joan Jonas,1978,35.208592,-97.445659,University of Oklahoma,
Joan Jonas,1978,45.50867,-73.553992,Montreal Museum of Fine Arts,
Joan Jonas,1979,51.455643,7.011555,Folkwang Museum,"Solo show, ""Videowochen"""
Joan Jonas,1979,39.099727,-94.578567,Kansas City Art Institute,
Joan Jonas,1979,41.901514,12.460774,Video Roma,
Joan Jonas,1979,40.773343,-73.963598,Whitney Museum of American Art,
Joan Jonas,1980,40.782979,-73.958867,Guggenheim Museum,
Joan Jonas,1980,48.856614,2.352222,American Center
Joan Jonas,1980,33.768321,-118.195617,Long Beach Museum
Joan Jonas,1981,40.745938,-73.94806,PS1 MoMA
Joan Jonas,1981,44.40565,8.946256,Bonini Editore
Joan Jonas,1981,51.507335,-0.127683,Arts Council of Great Britain
Joan Jonas,1981,46.947922,7.444609,Kunsthalle
Joan Jonas,1981,35.689488,139.691706,Tokyo Film Festival
Joan Jonas,1981,41.878114,-87.629798,US Film and Video Festival
Joan Jonas,1982,51.312711,9.479746,Documenta 7
Joan Jonas,1982,40.724806,-73.990267,Anthology Film Archives
Joan Jonas,1982,52.519171,13.406091,Arsenal
Joan Jonas,1982,52.370216,4.895168,Stedelijk Museum
Joan Jonas,1982,-33.867487,151.20699,4th Sydney Biennale
Joan Jonas,1983,60.169845,24.938551,"Ars 83, Ateneum Helsinki"
Joan Jonas,1983,-37.814107,144.96328,Australian National Gallery
Joan Jonas,1987,51.312711,9.479746,Documenta 8
Joan Jonas,1989,52.370216,4.895168,De Appel,
Joan Jonas,1989,48.113475,-1.675708,Festival Electronique,
Joan Jonas,1990,48.856614,2.352222,Videotheque de Paris,
Joan Jonas,1992,40.7142,-74.0064,Pat Hearn Gallery,
Joan Jonas,1992,48.856614,2.352222,Galerie Tugny Lamarre,
Joan Jonas,2000,40.7142,-74.00513,Dia Center for the Arts,
Joan Jonas,2000,40.773343,-73.963598,Whitney Museum of American Art,
Bruce Nauman,1966,34.052234,-118.243685,"""Nicholas Wilder Gallery""",
Bruce Nauman,1968,40.775008,-73.963708,Leo Castelli Gallery,"""Bruce Nauman"""
Bruce Nauman,1968,51.227741,6.773456,Galerie Konrad Fischer,"""6 Day Week: 6 Sound Problems"""
Bruce Nauman,1972,34.052234,-118.243685,Los Angeles County Museum of Art,"""Bruce Nauman: Work from 1965 to 1972"""
Bruce Nauman,1973,40.773343,-73.963598,Whitney Museum of American Art,"""Bruce Nauman: Work from 1965 to 1972"""
Bruce Nauman,1973,51.227741,6.773456,Kunsthalle Bern,"""Bruce Nauman: Work from 1965 to 1972"""
Bruce Nauman,1973,51.441642,5.469723,Stedelijk van Abbemuseum,"""Bruce Nauman: Work from 1965 to 1972"""
Bruce Nauman,1973,45.465454,9.186516,Palazzo Reale,"""Bruce Nauman: Work from 1965 to 1972"""
Bruce Nauman,1974,29.760193,-95.36939,"Contemporary Arts Museum,","""Bruce Nauman: Work from 1965 to 1972"""
Bruce Nauman,1974,37.77493,-122.419415,San Francisco Museum of Art,"""Bruce Nauman: Work from 1965 to 1972"""
Bruce Nauman,1981,52.099637,5.773453,Rijksmuseum Kr_ller-M™ller,"""Bruce Nauman, 1972-1981"""
Bruce Nauman,1981,48.76564,8.228524,Staatliche Kunsthalle,"""Bruce Nauman, 1972-1981"""
Bruce Nauman,1982,39.290385,-76.612189,The Baltimore Museum of Art,"""Bruce Nauman: Neons"""
Bruce Nauman,1983,51.338761,6.585342,Museum Haus Esters,"""Bruce Nauman: Dream Passage, Stadium Piece, Musical Chairs-Drei neue Arbeiten"""
Bruce Nauman,1986,47.553759,7.591309,Kunsthalle Basel,"""Bruce Nauman"""
Bruce Nauman,1986,48.856614,2.352222,Musee d'Art Moderne de la Ville de Paris,"""Bruce Nauman"""
Bruce Nauman,1987,51.507335,-0.127683,Whitechapel Art Gallery,"""Bruce Nauman"""
Bruce Nauman,1987,47.557421,7.592573,Museum for Gegenwartskunst,"""Bruce Nauman: Drawings/Zeichnungen, 1965-1986"""
Bruce Nauman,1987,48.542076,9.04693,Kunsthalle Tubingen,"""Bruce Nauman: Drawings/Zeichnungen, 1965-1986"""
Bruce Nauman,1988,51.924216,4.481776,Museum Boijmans-van Beuningen,"""Bruce Nauman: Drawings/Zeichnungen, 1965-1986"""
Bruce Nauman,1988,48.136607,11.577085,Badischer Kunstverein,"""Bruce Nauman: Drawings/Zeichnungen, 1965-1986"""
Bruce Nauman,1988,53.551085,9.993682,Hamburger Kunsthalle,"""Bruce Nauman: Drawings/Zeichnungen, 1965-1986"""
Bruce Nauman,1988,40.7142,-73.992844,New Museum of Contemporary Art,"""Bruce Nauman: Drawings/Zeichnungen, 1965-1986"""
Bruce Nauman,1988,29.760193,-95.36939,Contemporary Arts Museum,"""Bruce Nauman: Drawings/Zeichnungen, 1965-1986"""
Bruce Nauman,1988,34.052234,-118.243685,Museum of Contemporary Art,"""Bruce Nauman: Drawings/Zeichnungen, 1965-1986"""
Bruce Nauman,1988,37.871593,-122.272747,"University Art Museum, University of California, Berkeley","Bruce Nauman: Drawings/Zeichnungen, 1965-1986"
Bruce Nauman,1990,47.557421,7.592573,Museum fur Gegenwartskunst,"""Bruce Nauman: Skulpturen und Installationen, 1985-1990"""
Bruce Nauman,1990,50.110922,8.682127,Stadtische Galerie,"""Bruce Nauman: Skulpturen und Installationen, 1985-1990"""
Bruce Nauman,1992,46.519962,6.633597,Musee Cantonal des Beaux-Arts,"""Bruce Nauman: Skulpturen und Installationen, 1985-1990"""
Bruce Nauman,1993,40.416775,-3.70379,Museo Nacional Centro de Arte Reina Sofia,"""Bruce Nauman"" (Retrospective)"
Bruce Nauman,1994,44.983334,-93.26667,The Walker Art Center,"""Bruce Nauman"" (Retrospective)"
Bruce Nauman,1994,34.052234,-118.243685,Museum of Contemporary Art,"""Bruce Nauman"" (Retrospective)"
Bruce Nauman,1994,38.895112,-77.036366,"Hirshhorn Museum and Sculpture Garden, Smithsonian Institution","""Bruce Nauman"" (Retrospective)"
Bruce Nauman,1995,40.761418,-73.977757,The Museum of Modern Art,"""Bruce Nauman"" (Retrospective)"
Bruce Nauman,1995,47.36865,8.539183,Kunsthaus Zurich,"""Bruce Nauman"" (Retrospective)"
Bruce Nauman,1997,52.42265,10.786546,Kunstmuseum,"""Bruce Nauman: Image/Text, 1966-1996,"""
Bruce Nauman,1997,48.856614,2.352222,Centre Georges Pompidou,"""Bruce Nauman: Image/Text, 1966-1996"""
Bruce Nauman,1998,51.507335,-0.127683,Hayward Gallery,"""Bruce Nauman: Image/Text, 1966-1996"""
Bruce Nauman,1998,60.169845,24.938551,Nykytaiteen museo/Museum of Contemporary Art Kiasma,"""Bruce Nauman: Image/Text, 1966-1996"""
Bruce Nauman,2000,48.208174,16.373819,Kunsthalle Wien Karlsplatz,"""Samuel Beckett/Bruce Nauman,"""
Bruce Nauman,2001,40.745814,-74.00705,Zwirner & Wirth,"""Bruce Nauman, Selected Works,"""
Bruce Nauman,2002,40.7142,-74.0064,DIA Center for the Arts,"""Bruce Nauman, Mapping the Studio I (Fat Chance John Cage)"""
Bruce Nauman,2002,40.7142,-74.0064,Sperone Westwater,"""Bruce Nauman, Mapping the Studio II (Fat Chance John Cage)"""
Bruce Nauman,2002,47.557421,7.592573,Museum fur Gegenwartskunst,"""Bruce Nauman, Mapping the Studio II (Fat Chance John Cage)"""
Bruce Nauman,2003,50.937531,6.960279,Ludwig Museum,"""Bruce Nauman, Mapping the Studio I (Fat Chance John Cage)"""
Bruce Nauman,2003,47.557421,7.592573,Museum fur Gegenwartskunst,"""Bruce Nauman, Mapping the Studio II (Fat Chance John Cage)"""
Bruce Nauman,2003,52.519171,13.406091,Deutsche Guggenheim,"""Bruce Nauman: Theaters of Experience"""
Bruce Nauman,2004,35.517491,-86.580447,Power House Memphis,"""Bruce Nauman: Setting a Good Corner (Allegory & Metaphor)"""
Bruce Nauman,2004,37.566535,126.977969,PKM Gallery,"""Bruce Nauman"""
Bruce Nauman,2004,51.507335,-0.127683,Tate Modern,"""Raw Materials: The Unilever Series: Bruce Nauman"""
Bruce Nauman,2005,33.49417,-111.926052,Scottsdale Museum of Contemporary Art,"""Pay Attention: Bruce Nauman Videos from the Collection of Barbara Balkin Cottle and Robert Cottle"""
Bruce Nauman,2005,-23.547398,-46.634735,Centro Cultural Banco do Brasil,"""Circuito Fechado: Filmes e videos de Bruce Nauman, 1967 - 2001"""
Bruce Nauman,2005,41.878114,-87.629798,Donald Young Gallery,"""Bruce Nauman"""
Bruce Nauman,2006,53.408371,-2.991573,Tate Liverpool,"""Bruce Nauman: Make Me Think Me"""
Bruce Nauman,2006,40.851775,14.268124,Museo d'Arte Donna Regina (MADRE),
Bruce Nauman,2006,40.772932,-73.965858,Craig F. Starr Gallery,"""Bruce Nauman: Information as Poetry"""
Bruce Nauman,2006,51.227741,6.773456,Forum Kultur und Wirtschaft,"""Bruce Nauman: Mental Exercises"""
Bruce Nauman,2006,43.038903,-87.906474,Milwaukee Art Museum,"""Elusive Signs: Bruce Nauman Works with Light"""
Bruce Nauman,2006,39.768583,-86.157956,Indianopolis Museum of Art,"""Elusive Signs: Bruce Nauman Works with Light"""
Bruce Nauman,2006,25.890095,-80.186714,Museum of Contemporary Art,"""Elusive Signs: Bruce Nauman Works with Light"""
Bruce Nauman,2007,47.60621,-122.332071,"Henry Art Gallery, University of Washington","""Elusive Signs: Bruce Nauman Works with Light"""
Bruce Nauman,2007,45.50867,-73.553992,Musee d'Art Contemporain,"""Elusive Signs: Bruce Nauman Works with Light"""
Bruce Nauman,2007,40.749173,-74.00536,Joni Moisant Weyl,"""Bruce Nauman: Soft Ground Etchings and Infrared Outtakes"""
Bruce Nauman,2007,52.375892,9.73201,Kestner Gesellschaft,"""Bruce Nauman: One Hundred Fish Fountain"""
Bruce Nauman,2008,-37.471308,144.785153,Australian Center for Contemporary Art,"""Elusive Signs: Bruce Nauman Works with Light"""
Bruce Nauman,2008,-27.472163,153.018678,Queensland Art Gallery,"""Elusive Signs: Bruce Nauman Works with Light"""
Bruce Nauman,2008,37.871593,-122.272747,"University of California, Berkeley Art Museum & Pacific Film Archive","""A Rose Has No Teeth: Bruce Nauman in the 1960's"""
Bruce Nauman,2008,45.062902,7.67849,"Castello di Rivoli Museo d""Arte Contemporanea","""A Rose Has No Teeth: Bruce Nauman in the 1960's"""
Bruce Nauman,2008,29.760193,-95.36939,The Menil Collection,"""A Rose Has No Teeth: Bruce Nauman in the 1960's"""
Bruce Nauman,2008,40.7142,-74.0064,Sperone Westwater,"""Bruce Nauman: Drawings for Installations"""
Bruce Nauman,2008,40.751313,-74.006756,Specific Object/ David Platzker,"""Bruce Nauman: Studies for Holograms"""
Bruce Nauman,2008,32.715329,-117.157255,Museum of Contemporary Art San Diego,"""Elusive Signs: Bruce Nauman Works with Light"""
Bruce Nauman,2009,43.409537,-84.608202,Contemporary Art Museum,"""Bruce Nauman: Dead Shot Dan"""
Bruce Nauman,2009,40.7142,-74.0064,"Peter Freeman, Inc.","""Bruce Nauman: Diamond Mind Circle of Tears Fallen All Around Me (1975)"""
Bruce Nauman,2009,45.440847,12.315515,United States Exhibition of the 53rd Venice Biennale,"""Bruce Nauman: Topological Gardens"""
Bruce Nauman,2009,34.147785,-118.144515,Armory Center for the Arts,"""Bruce Nauman, Untitled, 1969/2009"""
Bruce Nauman,2009,40.772932,-73.965858,Craig F. Starr Gallery,"""Bruce Nauman: Drawings for Neons"""
Bruce Nauman,2009,45.062902,7.67849,Galleria Zabert,"""Bruce Nauman: One Video and Works on paper"""
Bruce Nauman,2010,39.952335,-75.163789,Philadelphia Museum of Art,"""Notations / Bruce Nauman: Days and Giorni"""
Bruce Nauman,2010,52.519171,13.406091,Museum fur Gegenwart,"""Bruce Nauman: Dream Passage"""
Bruce Nauman,2010,40.761418,-73.977757,Museum of Modern Art,"""Bruce Nauman: Days"""
Bruce Nauman,2010,40.7142,-74.0064,Sperone Westwater,"""Bruce Nauman: For Children/For Beginners"""
Bruce Nauman,2011,49.487459,8.46604,"Mannheim, Germany","""Bruce Nauman: Der Wahre Konstler"""
Bruce Nauman,2011,52.519171,13.406091,Konrad Fischer Galerie Berlin,"""Bruce Nauman: F™r Kinder / Beschriebene Kombinationen"""
Bruce Nauman,2011,41.878114,-87.629798,Donald Young Gallery,"""Bruce Nauman: Combinations Described (Chicago)"""
Bruce Nauman,2012,40.416775,-3.70379,Galeria La Caja Negra,"""Bruce Nauman: Infrared Outtakes, Soft Ground Etchings, and Crossbeams"""
Bruce Nauman,2012,51.507335,-0.127683,White Cube,"""Bruce Nauman: Inside the White Cube"""
Bruce Nauman,2012,51.507335,-0.127683,Institute of Contemporary Arts,"""Bruce Nauman: Days"""
Lynda Benglis,1969,41.481359,-71.525512,University of Rhode Island,
Lynda Benglis,1970,40.746921,-74.006891,Paula Cooper Gallery,
Lynda Benglis,1970,32.78014,-96.800451,Janie C. Lee Gallery,
Lynda Benglis,1970,50.937531,6.960279,Galerie Hans Muller,
Lynda Benglis,1972,37.77493,-122.419415,Hansen-Fuller Gallery,
Lynda Benglis,1973,40.746921,-74.006891,Paula Cooper Gallery,
Lynda Benglis,1973,43.048122,-76.147424,Everson Museum of Art,"""Lynda Benglis: Video Tapes"""
Lynda Benglis,1973,37.77493,-122.419415,Hansen-Fuller Gallery,
Lynda Benglis,1973,29.760193,-95.36939,The Texas Gallery,
Lynda Benglis,1973,33.603906,-117.863377,Jack Glenn Gallery,
Lynda Benglis,1974,40.746921,-74.006891,Paula Cooper Gallery,
Lynda Benglis,1974,37.77493,-122.419415,Hansen-Fuller Gallery,
Lynda Benglis,1975,43.450902,-75.063775,"Fine Arts Center Gallery, College at Oneonta","""Physical and Psychological Moments in Time: A First Retrospective of the Video Work of Lynda Benglis"""
Lynda Benglis,1975,40.745377,-74.006871,The Kitchen,
Lynda Benglis,1975,40.746921,-74.006891,Paula Cooper Gallery,
Lynda Benglis,1975,40.7142,-95.36939,The Texas Gallery,
Lynda Benglis,1976,47.60621,-122.332071,AND/OR,"""Videotapes"""
Lynda Benglis,1976,40.7142,-118.243685,Margo Leavin Gallery,
Lynda Benglis,1977,40.7142,-74.0064,The Kitchen,"""Lynda Benglis Presents Amazing Bow-Wow"""
Lynda Benglis,1977,34.052234,-122.419415,Hansen-Fuller Gallery,
Lynda Benglis,1977,40.746921,-74.006891,Paula Cooper Gallery,
Lynda Benglis,1978,40.7142,-95.36939,The Texas Gallery,
Lynda Benglis,1979,29.760193,-87.629798,Dart Gallery,
Lynda Benglis,1979,41.308153,-122.419415,Hansen-Fuller Goldeen Gallery,
Lynda Benglis,1979,37.77493,-84.385087,Georgia State University,Recent Works
Lynda Benglis,1979,33.752081,4.35171,Galerie Albert Baronian,
Lawrence Weiner,1970,50.937531,6.960279,Konrad Fischer/Fernsehgalerie Gerry Schum at Kunstmarkt Köln,"""Beached"""
Lawrence Weiner,1970,48.861102,2.362936,Yvon Lambert Gallery,"""Lawrence Weiner"""
Lawrence Weiner,1970,50.775346,6.083887,Gegenverkehr,"""An Exhibition/Eine Ausstellung"""
Lawrence Weiner,1971,34.052234,-118.243685,Los Angeles,"""Broken Off"""
Lawrence Weiner,1971,52.519171,13.406091,East Berlin,"""Broken Off"""
Lawrence Weiner,1971,42.578962,2.614228,"Boule d'Amont, France","""Undertown and/or Overtown"""
Lawrence Weiner,1971,50.110922,8.682127,Frankfurt Art Union,"""Experimenta 4"""
Lawrence Weiner,1972,51.507335,-0.127683,Jack Wendler Gallery,
Lawrence Weiner,1972,44.648863,-63.57532,Anna Leonowens Gallery,
Lawrence Weiner,1972,51.962116,7.62459,Westfälischer Kunstverein,"""50 Works of Lawrence Weiner"""
Lawrence Weiner,1972,48.856614,2.352222,7 Yvon Lambert,
Lawrence Weiner,1972,51.507335,-0.127683,Jack Wendler Gallery,
Lawrence Weiner,1973,40.851775,14.268124,Modern Art Agency,5 works of Lawrence Weiner
Lawrence Weiner,1973,53.548243,8.582657,Kabinett fur Aktuelle Kunst,"""Within Forward Motion"""
Lawrence Weiner,1973,45.465454,9.186516,Galleria Toselli,"""Once Upon a Time/C’era una Volta"""
Lawrence Weiner,1973,51.507335,-0.127683,Jack Wendler Gallery,"""With Relation to the Various Manners with Various Things"""
Lawrence Weiner,1973,51.219216,4.402882,Space Bruxelles,"""Six Works of Lawrence Weiner Presented by Wide White Space Bruxelles/Antwerpen…"""
Lawrence Weiner,1973,45.062902,7.67849,Galleria Sperone,"""Two Works of Lawrence Weiner"""
Lawrence Weiner,1974,40.775008,-73.963708,Leo Castelli Gallery,"""Lawrence Weiner"""
Lawrence Weiner,1974,29.760193,-95.36939,Barbara Cusack Gallery,"""2 works of Lawrence Weiner"""
Lawrence Weiner,1974,55.736654,12.569196,Gentofte Kommunes Kunstbibliotek,"""Having Relation To The Use Of Various Things"""
Lawrence Weiner,1974,48.861102,2.362936,Yvon Lambert Gallery,"""3 Works of Lawrence Weiner"""
Lawrence Weiner,1975,51.22778,6.806842,Konrad Fischer Gallery,"""3 Works in Relation to Place"""
Lawrence Weiner,1975,53.548243,8.582657,Kabinett für Aktuelle Kunst,"""Towards a Reasonable End"""
Lawrence Weiner,1975,47.557421,7.592573,Rolf Preisig Gallery,"""Eine Arbeit Von Lawrence Weiner Bei Rolf Preisig"""
Lawrence Weiner,1975,56.088054,8.257633,Edition After Hand,"""Lawrence Weiner"""
Lawrence Weiner,1975,-33.869543,151.214885,Art Gallery of New South Wales,"""With Relation To a Manner Of Placement"""
Lawrence Weiner,1976,51.50663,-0.130335,ICA,"""Five Works One Book One Videotape"""
Lawrence Weiner,1976,40.745377,-74.006871,The Kitchen Center,"""With Relation To a Manner Of Use"""
Lawrence Weiner,1976,51.441642,5.469723,Van Abbemuseum,"""An Exhibition on the Work of Lawrence Weiner"""
Lawrence Weiner,1976,40.721554,-74.002251,Artists Space,"""A Proposition + Some Questions as to Moved Picture"""
Lawrence Weiner,1976,54.978252,-1.61778,Robert Self Gallery,"""A Work of Lawrence Weiner Presented at 17 Queens Lane"""
Mary Lucier,2013,40.749096,-74.004198,"Lennon, Weinberg, Inc.",
Mary Lucier,2012,53.760267,-2.700173,Harris Museum and Art Gallery,The Digital Aesthetic 3 
Mary Lucier,2012,40.749096,-74.004198,"Lennon, Weinberg, Inc.","""The Early Show"""
Mary Lucier,2012,40.671208,-73.96363,Brooklyn Museum of Art,"""Playing House"""
Mary Lucier,2011,54.318986,10.134074,Stadtgalerie,gehen bluhen fliefsen
Mary Lucier,2011,40.745469,-73.9471,MoMa PS1,"“September 11,”"
Mary Lucier,2010,40.749096,-74.004198,"Lennon, Weinberg, Inc.",“Ends and Means”
Mary Lucier,2010,40.719328,-73.991644,Callicoon Fine Arts,
Mary Lucier,2010,43.543828,-96.729162,The Washington Pavilion of Arts and Science,
Mary Lucier,2009,33.521755,-86.810297,Birmingham Museum of Art,
Mary Lucier,2008,39.964359,-82.987958,Columbus Museum of Art,“In Monet’s Garden: The Lure of Giverny”
Mary Lucier,2008,42.020059,-73.913264,CCS Bard Hessel Museum,"""Recasting Site"""
Mary Lucier,2008,32.747716,-97.36896,Amon Carter Museum,
Mary Lucier,2008,39.708754,-105.078181,The Lab at Belmar,
Mary Lucier,2008,42.360548,-71.087829,"Media Test Wall, MIT/List Center",
Mary Lucier,2008,42.27541,-83.739847,University of Michigan Art Museum,
Mary Lucier,2007,41.556641,-72.657372,Ezra and Cecile Zikha Gallery,“Disaster! One Year Later”
Mary Lucier,2007,48.858444,2.359891,Centre culturel suisse de Paris,“e-flux video rental”
Mary Lucier,2006,40.805817,-77.860043,Palmer Art Museum,“Couples Discourse”
Mary Lucier,2006,40.768711,-73.964768,The Bertha and Karl Leubsdorf Art Gallery at Hunter College,“The Early Show: 
Mary Lucier,2006,41.313464,-105.566336,University of Wyoming Art Museum,
Mary Lucier,2006,47.921921,-97.070942,North Dakota Museum of Art," Video from 1969-1979,”"
Mary Lucier,2006,40.405829,-3.699723,La Casa Encendida,
Mary Lucier,2005,36.085494,-86.872561,Cheekwood Museum of Art,"“Video Spirit: Mysteries, Myths, Meditations, and the "
Mary Lucier,2005,40.007031,-105.268809,Colorodo University Art Museum,“Techno/Sublime”
Mary Lucier,2005,40.749096,-74.004198,"Lennon, Weinberg, Inc.",“Group Exhibition: Gallery Artists”
Mary Lucier,2004,40.761403,-73.977625,Museum of Modern Art,“Premiers”
Mary Lucier,2004,37.785936,-122.400761,San Francisco Museum of Modern Art,“Double Exposure: Mary Lucier and Gordon Matta Clark” 
Mary Lucier,2004,40.751221,-74.004391,The Painting Center,“Reflections”
Mary Lucier,2004,40.749096,-74.004198,"Lennon, Weinberg, Inc.",“Group Show”
Mary Lucier,2004,38.539844,-121.755028,"Richard L. Nelson Gallery, University of California at Davis",
Mary Lucier,2003,40.745469,-73.9471,MoMa PS1,
Mary Lucier,2002,37.765234,-122.403896,CCAC/Wattis Institute for Contemporary Art,
Mary Lucier,2002,37.556616,-77.475044,Virginia Museum of Fine Arts,
Mary Lucier,2001,44.565058,-69.660744,Colby College Museum of Art,“Skowhegan Faculty 2001”
Mary Lucier,2001,43.074677,-89.388957,Madison Art Center,“Illusions of Eden”
Mary Lucier,2001,34.044481,-118.70882,Frederick R. Weisman Art Museum,“New Visions of the American Heartland” 
Mary Lucier,2001,40.760262,-73.993287,"Creative Time, Astrovision Video Board, Times Square",“The 59th Minute”
Mary Lucier,2001,40.773465,-73.963874,Whitney Museum of American Art,“Into the Light: The Projected Image in American Art 
Mary Lucier,2001,42.817374,-75.539244,"Clifford Gallery, Colgate University",
Mary Lucier,2001,40.749096,-74.004198,"Lennon, Weinberg, Inc", 1964-1977.”
Mary Lucier,2000,48.203499,16.359118,Museum of Modern Art/Ludwig Foundation Vienna,“Illusions of Eden”
Mary Lucier,2000,55.74045,37.613825,TV Gallery,“Cross Currents: Mary Lucier and Vadim Fishkin”
Mary Lucier,2000,47.470262,19.071768,"Museum of Contemporary Art, Budapest",“Illusions of Eden”
Mary Lucier,2000,48.203499,16.359118,Museum of Modern Art/Ludwig Foundation Vienna,“Illusions of Eden”
Mary Lucier,2000,39.964359,-82.987958,The Columbus Museum of Art,“Illusions of Eden: Visions of the American Heartland”
Mary Lucier,2000,40.749096,-74.004198,"Lennon, Weinberg, Inc.",“Photographers”
Mary Lucier,2000,40.761403,-73.977625,Museum of Modern Art, American Heartland”
Mary Lucier,1999,49.001798,8.383166,ZKM Museum fur Neue Kunst,“Video Cult/ures”
Mary Lucier,1999,43.134767,-70.934721,"The Art Museum, University of New Hampshire",“Together/Working”
Mary Lucier,1999,40.773343,-73.963598,Whitney Museum of American Art,"“The American Century, 1950-2000”"
Mary Lucier,1999,47.921921,-97.070942,North Dakota Museum of Art,
Mary Lucier,1998,40.725023,-73.996912,Harvestworks,“Screens and Memes”
Mary Lucier,1998,47.921921,-97.070942,North Dakota Museum of Art,“Mud and Roses” 
Mary Lucier,1998,43.157554,-77.591543,Visual Studies Workshop,“Landscape: Mediated Views”
Mary Lucier,1998,40.774119,-73.984123,"Frieda and Roy Furman Gallery, Lincoln Center",
Mary Lucier,1997,43.31019,-73.634028,"The Hyde Collection, Glens Falls, NY,","“Contemporary Landscape: The Enigma of Reason"""
Mary Lucier,1997,40.761403,-73.977625,The Museum of Modern Art,“The Digital Video Wall”
Mary Lucier,1997,32.785749,-79.932735,Spoleto Festival USA,“Human/Nature: Art and Landscape”
Mary Lucier,1997,40.749096,-74.004198,"Lennon, Weinberg, Inc.", Reason”
Mary Lucier,1997,41.883811,-87.650123,Rhona Hoffman Gallery,
Mary Lucier,1996,42.37365,-71.114719,Carpenter Center for the Visual Arts,
Mary Lucier,1996,37.785936,-122.400761,San Francisco Museum of Modern Art ,
Mary Lucier,1996,41.826515,-71.405366,"Bell Gallery, Brown University",“Natural Spectacles”
Mary Lucier,1996,37.439535,-79.170299,"Maier Museum of Art, Randolph Macon Woman’s College",“Reinterpreting Landscape”
Mary Lucier,1996,42.37365,-71.114719,"Carpenter Center, Harvard University",“New Fall Faculty”
Mary Lucier,1995,40.749096,-74.004198,"Lennon, Weinberg, Inc.,",
Mary Lucier,1995,43.653878,-70.262315,Portland Museum of Art,
Mary Lucier,1995,40.749096,-74.004198,"Lennon, Weinberg, Inc.,",“Gallery Artists”
Mary Lucier,1995,40.773465,-73.963874,Whitney Museum of American Art,“Gazing Back: Shigeko Kubota and Mary Lucier”
Mary Lucier,1995,40.773465,-73.963874,Art Miami,“Art on the Eve of the Millennium”
Mary Lucier,1995,41.276897,-73.497776,Aldrich Museum of Art,“Living with Contemporary Art” 
Mary Lucier,1995,40.749096,-74.004198,"Lennon, Weinberg, Inc.",“Gallery Artists”
Mary Lucier,1994,41.658725,-83.558141,Toledo Museum of Art, Lucier”
Mary Lucier,1994,37.771478,-122.46873,M.H. De Young Museum,"""Facing Eden: 100 Years of Landscape Art in the Bay Area"""
Mary Lucier,1994,40.749096,-74.004198,"Lennon, Weinberg, Inc.",
Mary Lucier,1993,25.788969,-80.226439,Miami Center for Fine Arts, Bay Area”
Mary Lucier,1993,36.835609,-76.301429,The Arts Center,
Mary Lucier,1993,42.391764,-71.032828,Rebecca Cooper Gallery,“Four Women”
Mary Lucier,1993,43.148038,-77.590597,Montage 93,
Mary Lucier,1993,40.75014,-74.004237,Nicole Klagsbrun Gallery,"“The First Generation: Women and Video, 1970-75”"
Mary Lucier,1993,43.148038,-77.590597,A/C Project Room,“Video House”
Mary Lucier,1993,35.994033,-78.898619,Durham Art Gallery,“Les Lieux de Video”
Mary Lucier,1993,37.785936,-122.400761,San Francisco Museum of Modern Art,“Beyond Boundaries: Art of the 60’s and 70’s” 
Mary Lucier,1992,35.776894,-78.645685,"City Gallery of Contemporary Art, Raleigh.",
Mary Lucier,1992,40.721118,-74.001903,Ronald Feldman Fine Arts,
Mary Lucier,1992,40.721118,-74.001903,Ronald Feldman Fine Arts,"""Performance, Video, Film"""
Mary Lucier,1992,40.755907,-73.983647,"International Center of Photography, New York",Recent American Dance Video
Mary Lucier,1991,40.749772,-73.997695,Greenberg Wilson,
Mary Lucier,1991,35.181446,136.906398,2nd International Biennale in Nagoya,"""Artec '91"""
Mary Lucier,1991,40.749772,-73.997695,Greenberg Wilson,
Mary Lucier,1990,40.514203,-88.990631,"University Galleries, Illinois State University",“Behind the Screen: Five Video Artists”
Mary Lucier,1990,40.953797,-73.896262,Hudson River Museum,
Mary Lucier,1988,34.053382,-118.250523,"Museum of Contemporary Art, Los Angeles",
Mary Lucier,1989,47.661746,-122.311997,Henry Art Gallery,"""Landscapes"""
Mary Lucier,1989,39.765872,-84.202482,Dayton Art Institute,"""A Certain Slant of Light: The Contemporary American Landscape"""
Mary Lucier,1989,50.935887,6.943862,Kolnischer Kunstverein,"""Videoskulptur retrospektiv und aktuell 1963-1989"" "
Mary Lucier,1989,48.864796,2.294937,"Palais de Tokyo, Musee d’art Moderne","""Femmes Cathodiques"""
Mary Lucier,1989,39.736368,-104.98923,the Denver Art Museum,"""Making Their Mark: Women Artists Move into the Mainstream, 1970 - 85"""
Mary Lucier,1989,39.11381,-84.496809,Cincinnati Art Museum,"""Making Their Mark: Women Artists Move into the Mainstream, 1970 - 85"""
Mary Lucier,1989,35.96231,-83.92563,Knoxville Museum of Art,"""American Women Artists"""
Mary Lucier,1989,39.955177,-75.163352,Pennsylvania Academy of the Fine Arts,
